"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"GSM1648114",0,0.030816675006902,0.0222592856796493,0.0492227352295294,0,0.222277300341771,0,0,0.00855325773850392,0,0.0525563009465387,0,0.113441891684624,0.229497519155094,0.000525196770814806,0.146970102942206,0.0275252230821485,0,0.0919888877823392,0,0.00436562363987887,0,0.081,0.145100673956709,1.03633934764258
"GSM1648115",0,0,0.0631737316611931,0.195700909214135,0,0.180188888828708,0.132887421369482,0,0.0280059707378418,0.0215187783924973,0,0.0995706012937736,0.076085222867742,0.0486829381507562,0.0708425666206508,0.0447474989926288,0,0,0,0.0374529830364603,0,0.00114248883413136,0.044,0.16868849991151,1.03389212683932
"GSM1648116",0,0,0.152463525110762,0.190057639504623,0,0.247370379847771,0.123127944144,0,0,0.0519191464613305,0,0.00594185721872388,0.0382429934630671,0,0.0756420362367149,0.0251454364369917,0,0.0462853206145008,0.0386976748525858,0,0,0.00510604610892888,0,0.376877277791895,0.929693849562536
"GSM1648117",0.000813064425373071,0,0.125500736804893,0.292458628924478,0,0.122805565005638,0.123842998720705,0,0,0.13732618092776,0,0.0266369584369042,0.0661097321473929,0,0.0231930506495538,0.0387696529258638,0,0.0111909263553701,0.00188183034298555,0.0158402492089659,0,0.0136304251241164,0.002,0.257942641519154,1.00074322274357
"GSM1648118",0,0.00695182879142962,0.338695295760453,0.0944547082049671,0.0260818600135854,0.0870016486367616,0.0921891228840158,0,0,0.0578279675417796,0,0,0.010653036962084,0.0875806372392666,0.0587123320355589,0.0830037463412156,0,0,0,0.046275034234367,0,0.0105727813545156,0,0.449054698337049,0.897242587373227
"GSM1648119",0.00502216843353394,0,0.0642415550135674,0.101349981796834,0,0.175159827332641,0.105928582814281,0,0,0.181843401504254,0,0.0837913214232454,0.0977828323019213,0,0.0282164819789711,0.0362551964819555,0.0116881516997462,0.00440951791661314,0.0742122622958946,0.0120862358257787,0,0.018012483180763,0.018,0.199861167372449,1.02383530473432
"GSM1648120",0,0.0106212615234121,0.0252507897628539,0.193518171015777,0,0.0602614301247209,0.0801981255665159,0,0,0.0750365762933812,0,0.144595063752205,0.0915573079714801,0,0.00409901573093236,0.203540877109956,0,0.0420712145860074,0.02867195923283,0,0,0.0405782073299277,0,0.298383328309649,0.973639343693386
"GSM1648121",0.00444180395682614,0,0.0300687303520058,0.0735071512605378,0,0.224675333672289,0,0.0281210666619737,0.00987025326461717,0.0456777711635319,0,0.0347165117979513,0.00252052429049563,0.110882202174374,0.0154568819269458,0.105945214590949,0,0.0324304844126603,0,0.267398447616208,0,0.0142876228586345,0.054,0.161568163508438,1.03810506789944
"GSM1648122",0,0,0.0627286069176492,0.376031368536379,0,0.0187982139511622,0.0635561353496777,0.0462104768993336,0,0.0994619053981979,0,0.0644068973205379,0.096050347449804,0,0.0604483366134381,0.0825270978187117,0,0.00991808197480508,0.0131731868205901,0,0,0.00668934494971371,0,0.446376142198337,0.899429558228772
"GSM1648123",0,0.025620268424658,0.0286361336261332,0.33089820294594,0,0.0575066055093053,0.0300023375731857,0,0.0126035715735253,0.112020522758481,0,0.0989037995164509,0.113168775200602,0.0940436963105903,0.0278441997995719,0,0,0.0337588289189143,0.00182956579037459,0.0241397525260272,0,0.00902373952624028,0,0.344499826710889,0.961406170766137
"GSM1648124",0,0,0.0261632158429792,0.190241085976479,0,0.139225501130853,0.117352576132726,0,0,0,0,0.0241164817135153,0.0779478828244059,0.0495606433026102,0.00965308782599521,0.225967822985126,0,0.0717260347204669,0,0.044937202713466,0,0.0231084648313778,0.052,0.163591890699014,1.0200893968343
