"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"EA_00b68d2219",0.00988738731035084,0.0851903153681823,0.155448544656145,0.0308318323708477,0,0.151272378668616,0.0654625537299006,0.048242240431931,0,0,0,0.0415930742747731,0.00442753844965073,0.158447423633314,0.0367428056915371,0.0747890620773145,0,0.00018724717032202,0,0.125118088067243,0.00713150480737428,0.00522800329249782,0,0.545451062187305,0.849883000610417
"EA_02352606b6",0.00550453793950429,0,0.0104243563069159,0.0564516280636125,0,0.322244055693128,0.059341878426274,0,0,0,0,0.0507553782547026,0.032048255327316,0.0396619745310415,0,0.272483338519847,0.0308224483191538,0.031019027337949,0.0778758743061111,0,0,0.011367246974444,0.07,0.133275248842983,1.03368957707802
"EA_0c41f7a172",0.128823040947893,0,0.0513114255752382,0.0149520159461105,0,0.0258959894170294,0.107521745052175,0.116995384839311,0.00131015361552527,0.00381730776800764,0,0.0631792798501671,0.00834058357248612,0.0171552534394832,0.0636422936936692,0.244620247483468,0.0603052098515627,0.0617117338316006,0.0304183351162727,0,0,0,0.492,0.0304314551976524,1.06309950709981
"EA_0c979151be",0,0,0,0,0.00068056300521178,0.0549238355513743,0.0228201682738001,0.027934992381643,0,0.0163536914956073,0,0.0497367245824287,0,0.373137071396546,0.253722743226299,0.166990943054501,0,0,0,0.0267007937291749,0,0.00699847330341405,0,0.636872205728759,0.771610648089159
"EA_0ecabf26ae",0.0127075276976368,0,0,0.034834715583173,0.00364838161059487,0.0347598148766219,0.0245767991360759,0.0561529314682333,0,0.0208471243420901,0,0.0305031474668393,0.0147979570181311,0.138611527150629,0.099495954702003,0.321824810052734,0.14314815643634,0,0,0.0121479114830261,0.0340955735236193,0.0178476674522529,0.001,0.396717815730008,0.922545678086394
"EA_0ef77bd35a",0.0330649999079341,0,0.072320249183893,0.0222371588472751,0.0765291460845664,0.0726633870457688,0.0155635107743599,0.016459251932292,0,0,0,0.0711287306106725,0.00671960575536581,0.108277078885585,0.158286740583943,0.211888820127313,0.0197141026998118,0,0,0.103539479116552,0.000641149808689043,0.0109665886359774,0.001,0.431464738849566,0.903044579182922
"EA_0f0fda909f",0.0505451554369505,0,0.0322939440657298,0.0249321911414736,0,0.203102639731612,0,0,0,0,0.0646150321877546,0,0.0124125939422324,0.171053201804557,0,0.372221379756924,0.009799941513344,0.0130672793087043,0.045956641110717,0,0,0,0.806,-0.00934148379981871,1.11000347622376
"EA_11007fabbf",0.00589460113682059,0,0.116186222854436,0.0692191983028958,0,0.226570525285319,0.084346701954449,0.078061654227824,0,0.0497270257503211,0,0.00683249698722156,0.034101829774302,0.12956108219809,0.0349658920678583,0.105556434326686,0.00539906503720944,0.00770469144687706,0,0.025022913279398,0.0208496653702912,0,0.00700000000000001,0.275934664623802,0.969362417920936
"EA_11521178c5",0.0190036763702624,0,0.0256267979167949,0.0206039757084854,0.0305458526966696,0.164143904776504,0.00769261315872447,0,0,0,0.0259415598060441,0,0.200550650892196,0.0377767201235943,0.034838695388677,0.292967776084888,0.0402020831122203,0.0209088905998016,0.0791968033651374,0,0,0,0.001,0.41724640796682,0.908291402436805
"EA_119d009c88",0,0.0195486869711659,0.0322778239358654,0.00128062192647545,0,0.0250892076586454,0,0,0,0.00978409313585976,0,0.0265037759065245,0,0.589596408923014,0.0170511328272134,0.227553434635458,0,0,0,0.0339909259189517,0.0173238881608263,0,0,0.685767799594058,0.728995133637388
