"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"ERR2208888",0.0515696241636084,0,0,0.0111045954802349,0.0171081216350759,0.139540583256451,0.145031545111913,0,0,0,0.0939349105993631,0,0,0.245319529190685,0,0.269921948455763,0,0,0,0.0264691421069061,0,0,0.352,0.0466466125007185,1.0887774600394
"ERR2208889",0.104460835366244,0,0,0.0392358826447056,0,0.23637546002591,0,0,0,0,0.016710583454877,0,0,0.176500475813406,0.0248895485716323,0.16429338878807,0,0.00634925163696021,0,0.188335664821352,0.041324137554813,0.00152477132202985,0.352,0.0467548633492082,1.08703806495196
"ERR2208890",0.00634454650596552,0.0534077331908532,0.0847201402687459,0.0973968163126943,0,0.191579072190473,0,0.0925359256114508,0,0,0,0.0723612901072699,0.0126700181069419,0.175766599716822,0.013896943875709,0.153313082886053,0,0.0181247150742798,0.0132883014854762,0.00924217789845035,0.00535263676881554,0,0.005,0.337499694878041,0.945469778039606
"ERR2208892",0.0161612259333726,0.0128147906062906,0.0249954741674384,0.153887784876873,0.0233143503329443,0,0.0870733526952545,0.0217124539802498,0,0.0686848740290178,0,0.0172182842322845,0,0.230051417730208,0.151351650078093,0.0993198781511129,0.0417647742046563,0,0,0.0339955410927621,0.0176541478894423,0,0.026,0.197457440066891,1.02322263801611
"ERR2208893",0.0756540462552523,0,0.000750491672263949,0.0470386518765213,0,0.413166748128738,0,0,0,0,0.0289965485571984,0,0.0627126114201533,0.078354946413218,0.0174514623872208,0.261142868790681,0,0,0.0147316244987539,0,0,0,0.633,0.00778185283879383,1.09522131432508
"ERR2208894",0.0257088218714789,0,0.00126213909637056,0.0228691077361999,0.199340719893169,0.108713290307812,0,0.0564570354145523,0,0,0.000934458843108622,0.00806237448425836,0.0205219654952981,0.0534299624090377,0.0552046833525861,0.267505562750482,0.0775878783660054,0,0,0.0909521860918804,0.0114498138877606,0,0.662,0.00516896607877721,1.08993545672468
"ERR2208895",0,0.0184527356223701,0.0586290284162145,0.0556156931891618,0.0521158787705697,0.214558667281039,0,0.000500988454414251,0,0,0,0.046593453339277,0.0283636668666207,0.122652032328161,0.0429730546450795,0.277185994429365,0,0,0,0.0823588066577264,0,0,0.094,0.12614488998684,1.04202942169541
"ERR2208897",0.13282440950161,0.169774886174575,0.0157269574197395,0.0205997782427323,0.323284075828266,0.099956960276504,0.0352594006471482,0,0,0,0.0135417668156988,0.00169779960427108,0.00584260842467165,0.0183748441054313,0.0424632275957127,0.0959389674150029,0.0133957134776364,0.0101553225080563,0,0.00116328196294375,0,0,0.034,0.182637352556834,1.02439656206953
"ERR2208898",0.0716598097583483,0,0.0348391653383791,0.0388946188234319,0,0.19827934939395,0,0.0691581721865348,0,0,0.0677126430614655,0,0.0512707367898772,0,0.00260029058335883,0.366221821428911,0,0,0,0.0993633926357429,0,0,0.216,0.0720257245098746,1.06017142556025
"ERR2208899",0.0238896251379116,0.139844309745204,0,0,0.402261083143144,0.257126624758029,0.0929300851944361,0,0,0,0.0249403807457578,0,0.01161841469471,0,0.00299512104991529,0.0263291052412792,0,0.00548225135920541,0,0.0125829989304065,0,0,0,0.6511520228351,0.765878357788238
"ERR2208900",0.0159195692774411,0.191539089495368,0.0291656401048264,0.139427844960942,0.0267245764195249,0.107805817018653,0.0630385776351155,0.0632799380592202,0,0,0,0.0355517448660118,0.0135369930504325,0.0197207757849167,0.078985700802872,0.131807026377619,0,0,0,0.0732881532672456,0.0102085528798109,0,0.00600000000000001,0.319414804772287,0.952291400257225
"ERR2208901",0.113273083665226,0,0.0205312801704494,0,0.0760506186096173,0.0479747722148788,0,0.0257327443524081,0,0,0.04356035003392,0.0420420615513321,0,0.324468978213643,0.0111814510050715,0.249213405890678,0,0,0,0.0459712542927764,0,0,0.394,0.0408462346084446,1.10838016718834
"ERR2208902",0.121688919666844,0,0.00784199265476731,0.0647089311388467,0.0299158657271911,0.0821862012115951,0.048851352558861,0.0780364451291865,0.034809810642427,0.00199086215518808,0,0.00866765908473389,0.0321677291989419,0.0279600460220131,0.0325994960371031,0.248867041710241,0.0791740491372335,0,0,0.0981678490223852,0.00236574890244205,0,0.426,0.0369076371152068,1.06415797211807
"ERR2208903",0.142419125938722,0,0.00591032846000943,0.0202445844292175,0,0.274326975793639,0,0.0452863311430703,0,0,0.0227856107831159,0.103999804458807,0.0485825691380438,0.123863126613261,0.0174619872956384,0.149727674011272,0.00485344709050912,0,0,0.0357127702844265,0.00482566456026815,0,0.628,0.00867140271845146,1.09403224874415
"ERR2208904",0.0946184043678307,0,0.147052209599459,0.166650937118197,0.0531707599397976,0.154927322011795,0.014349586043966,0.0663810265856556,0,0,0,0.0574199785765162,0.0138505683937343,0.0583776937113682,0.05157308247511,0.0791581308766389,0.042221143883853,0,0,0.000249156416077979,0,0,0.00800000000000001,0.290074013800082,0.965540303251245
"ERR2208906",0.0361802028629513,0.048886359315756,0.0265809501763292,0.177586189552689,0.10883052674517,0,0.0744376189389627,0.0660230968189476,0,0,0,0.0259438591250044,0.0147397857521396,0.119051045129705,0.119667467066496,0.0979656161309992,0.0201457491017302,0,0,0.0501956702672877,0.013765863015832,0,0.014,0.227135108178303,0.996356613419923
"ERR2208907",0.00553254930687123,0.0125625946189138,0.0936559723699612,0,0.143287294908019,0.051513433516679,0.0979743598601271,0.0134699717338455,0,0.0742065796440372,0,0.0846720468048731,0.0016123025929164,0,0.148866398026247,0.124197726105395,0.014843255507809,0,0,0.126654768654621,0.00695074634968421,0,0.04,0.170734965593175,1.03452329557771
"ERR2208909",0.0337720477940678,0,0,0.0388535814704244,0.0371071264379046,0.0517645217962591,0.0943180604700145,0.00808343395899232,0,0,0,0.0337218405198011,0,0.171849090078799,0.0271849945788245,0.259426352963349,0.128449757883524,0.00461670356247895,0,0.0965786973495787,0,0.0142737911359819,0.144,0.0971781559915438,1.06394358615574
"ERR2208910",0,0.0676122644556031,0.0447909543299436,0.130562334142994,0.00246084418329979,0.175605126098059,0,0.0181292864846436,0,0,0,0.0560605051214269,0.0120543365267135,0.0497270006146689,0.00439877540616831,0.298799603000985,0,0.0169076248317083,0,0.111722318561083,0,0.0111690262427028,0.395,0.0405124510405875,1.07674738461942
"ERR2208912",0.0936976191127877,0.0158830957379535,0,0.0384278121395395,0.330361302136841,0.135580486711684,0.0371512549206936,0.00626411180090141,0,0,0,0.011159287597189,0.00791904750374483,0.0111596614582264,0.144023994007051,0.0571867790205205,0.0544172017902746,0,0.0567683460625939,0,0,0,0.121,0.110485066618579,1.06407065709796
"ERR2208914",0.000963070255854071,0.11557268304866,0.00668951119979281,0.108756672025752,0.110375957852471,0.0908093988416992,0.126000722303437,0.0448388948158604,0,0,0.00499163187393423,0.0209180288309211,0.00562095253732803,0.11951832621874,0.149303915106143,0.0472096463109091,0,0,0,0.0484305887784982,0,0,0.026,0.197980848448753,1.01581912487484
"ERR2208915",0.0121756602895346,0.00182070883967974,0.0623260452228024,0.198052440448993,0,0.0748443289599888,0.0921116203714128,0.0243215796858216,0,0,0,0.0205946503196435,0.0241410140798385,0.122184551011885,0.163881427968398,0.101919400206659,0.0272750920772383,0,0,0.0585237110895914,0.0158277694285123,0,0.013,0.232220977795489,1.00002918789927
"ERR2208916",0.0471533260989956,0,0,0,0.0516279017555104,0.244253904787011,0.0309249428650863,0,0,0,0.0540087277127206,0,0.040750018507769,0.00760216796176541,0.00657850809442989,0.302782695207436,0.0407703474411081,0,0.173547459568168,0,0,0,0.079,0.139724929650949,1.02671581918175
"ERR2208918",0.0109970358606945,0.0651492435238051,0.00710662226985596,0.0815705975562191,0.0355936210324461,0.115123535255162,0.0568577411518491,0.0253001395505073,0,0.000616057936600387,0,0.0224009444390782,0,0.255989136175392,0.0515105921571439,0.20205580556435,0,0.0112774189121917,0,0.0584515086147042,0,0,0,0.497185853716051,0.867303008463523
"ERR2208919",0.0671352333514284,0,0.0012728003854534,0.0028729232819869,0,0.279898750240147,0.0581564047662585,0,0,0,0.0554139053188672,0,0.124032492250767,0.156198974938264,0.00156832088154678,0.196327291879898,0,0.00166377666781312,0,0.0416350119069093,0.0138241141306601,0,0.253,0.0644296921706012,1.06316959901815
"ERR2208920",0,0.201713691575379,0.0547719298985488,0.0791663449434712,0.0169977580621301,0.253038065554141,0.0366964636799639,0.0411784068163419,0,0,0,0.0342185266998647,0.0036236073665967,0.00979086873979705,0.0780336637576679,0.117662650041508,0,0,0,0.0648072029493279,0.000608404715293895,0.00769241519996729,0.005,0.333633156369783,0.946535551688752
"ERR2208921",0.0942910524715982,0,0.0356319521409313,0.157092424239504,0.122302196453659,0,0.0968897596100325,0.0553276888445611,0.00886691604326828,0,0.00180713053683532,0.0250585320938377,0.0106970561299112,0.056109494065243,0.210836726899773,0.0880293600012588,0.025900237715883,0,0,0.00698648087074196,0.00417299188296067,0,0.0679999999999999,0.14783465910254,1.05148114722545
"ERR2208922",0.0529426609569097,0,0.00614413345211022,0.0281007395308284,0,0.230710882181913,0.125683431118853,0,0,0,0.039166423620654,0,0,0.37429229625694,0.0210096399615733,0.0569619331906777,0,0,0,0.0592134714283367,0.00577438830120415,0,0.089,0.128776773804119,1.059841136144
"ERR2208923",0,0.0903251088708727,0.0152264863844299,0.0552716563326067,0.0931363314364912,0.0785796661497031,0.0260371226530417,0.0399592193317421,0,0,0,0.0433524157700127,0.0135822726012428,0.036815984485531,0.0903275152955121,0.204053256854368,0,0.0989480210825787,0,0.107235577121815,0.00495987245142168,0.00218949317863055,0.027,0.193386542822178,1.01244160076505
"ERR2208924",0.133140309101633,0,0.0244631035497584,0.0897399254396695,0.0903608447713714,0.187237230333284,0.122456723300853,0,0,0,0.0144174842407913,0.00344819196507881,0.00323086468324851,0.147444790796812,0.0267775556226029,0.123588070074535,0,0,0,0.0336949061203613,0,0,0.214,0.0729136661195662,1.0574272098183
"ERR2208926",0.198751655202358,0,0.00929535754353629,0.00533058708526437,0.138561894507625,0.209370917049997,0.210069777847913,0,0,0,0.0375445734387566,0,0.00712290320956241,0.00684962340815508,0.0110982317437024,0.068751533271944,0.041785660883237,0,0,0.0535748488556171,0.00189243595233215,0,0.386,0.0421249452185002,1.07298165089357
"ERR3262562",0,0.00913099783818332,0.0137510500851954,0.200280027680891,0,0.130877577198339,0.0941718958558262,0.0645862233382363,0,0,0,0.0225328280388395,0,0.0899586708787825,0.11603634727813,0.247692874115295,0,0,0,0.0109815076922817,0,0,0.101,0.121005277959711,1.05130011175486
