"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"GSM4063816",0.0512259516430645,0,0,0.171316118169134,0,0,0.0286096504094997,0.058103347093184,0,0.036370596428171,0,0.0988091350703705,0.123219341573206,0,0.0646885464048325,0.0876891845197303,0.089509875723609,0,0.0723704398392072,0.0540496932597478,0.064038119866244,0,0.135,0.297418675520236,0.956549848486767
"GSM4063814",0.142861840137828,0,0.0103128812723269,0.0223459290957471,0,0.0372387089718573,0.00468866212805063,0.0454724557229358,0,0,0,0.02539442369021,0,0.167754013697094,0.0368118478793821,0.139335890933398,0.138979827180259,0.0236114294383583,0.189429371203241,0,0.0157627186493106,0,0.055,0.402128104855023,0.92015817994232
"GSM4063823",0.0873361126941589,0,0,0.0365174817567471,0,0,0,0.0327034525379916,0.0349957446938108,0.045851482779004,0,0,0,0.340823596019975,0.0204873706132685,0.126618516299261,0.0544651128427841,0,0.126091466930999,0.0615373441280211,0.0245040725164503,0.00806824618752808,0.074,0.368624547215613,0.937404902743053
"GSM4063832",0.221309041808537,0,0.0120600394717344,0.113957173950404,0,0.0697994939062234,0.0319981892859514,0.0117127739241702,0.0417959399886577,0,0,0.0851619094181981,0,0.170330783050945,0.0762700658567521,0,0.12797249351774,0.00835887629590029,0,0.0152153447798996,0.00676161023532723,0.00729626450955917,0.692,0.0462189009747618,1.05753664325746
"GSM4063818",0.153539986056262,0,0,0.0557047011934545,0,0,0,0.0558288970960707,0,0.00333790763402977,0,0.0550402086107873,0,0.009248800355349,0.0512170116216842,0.445480935214336,0.0689385991092139,0,0.0978404703932784,0.00382248271553485,0,0,0.075,0.36657070175443,0.928009187406861
"GSM4063830",0.0786553717576255,0,0,0.0398236627481114,0,0,0,0.00749599724261764,0.0576964928020986,0,0,0.0135648155519346,0,0.0697085775869372,0.0151169069166894,0.00318267245154744,0.636329730569692,0,0.0346003340698996,0,0.0438254383028466,0,0.216,0.232677150436464,0.979487993378912
"GSM4063817",0.13687582179575,0,0,0.0559521153315899,0,0.217790290999073,0,0.0251074817258149,0,0,0,0.0416542390212223,0,0,0.03040648815429,0.127839197737706,0.177166148830803,0.0146280088139136,0,0.1064258636665,0.0661543439233372,0,0.207,0.238953102705536,0.974636985777752
"GSM4063829",0.0328402120112644,0,0,0.0267033961036794,0,0,0,0.0492696155582584,0.0115156026773124,0.0503184296799463,0,0.024279265993602,0.00624414899928674,0.500302579840516,0.0365363214271569,0.224678808258797,0,0,0.0337000995449362,0,0.00361151990524481,0,0.01,0.67754866928945,0.735810188085735
"GSM4063821",0.117872309991298,0,0.0358127219855941,0.0825993105262251,0,0.0725868438707895,0.00985019814062664,0.0220245822593169,0,0,0,0.0515840523688623,0,0,0.0323904360650215,0.2837224980542,0.136797617395284,0,0.110789359807851,0,0.0397016136642385,0.00426845587069295,0.396,0.146370509065282,0.999548130239814
"GSM4063815",0.015732727094623,0,0,0.0963240029800874,0,0,0,0,0.103354756381259,0.0345861958180524,0,0.0611882732329117,0,0.101847262286873,0.0999309190544731,0.142414646198865,0.138215205926682,0,0,0.04054014518084,0.160666301223218,0.00519956462211653,0.155,0.283448207014057,0.960455473533395
"GSM4063820",0.165038302260126,0,0.0579060976383412,0.0372718267842262,0,0.0974690634338355,0.0272520582434269,0.00605474058624958,0,0.00897053426530596,0,0.0110949939024762,0,0.0979528310096421,0.0484067780500819,0.21039875894178,0.191427568700001,0,0,0,0.0407564461845067,0,0.188,0.252392306237635,0.969213292304695
"GSM4063822",0.13039645173818,0,0.0359322110082804,0.0213810310506631,0,0.0189249895831456,0,0.0361342322044897,0.0163923518045739,0,0,0.00494930000839347,0,0.356362110547074,0.0479940000065079,0.0172633609243812,0.0917077733557903,0,0.218859820991067,0,0.00370236677745361,0,0.054,0.403808280392792,0.919394496639178
"GSM4063826",0.0836869923375519,0,0,0.049512213433584,0,0,0,0.0342723071323788,0,0,0,0.0414758860984063,0,0.223780363859046,0.0592508028959488,0.379236097352635,0,0,0.0727419431084474,0.0463937449465607,0,0.00964964883544106,0.041,0.439089634975603,0.899137362375595
"GSM4063819",0.194111392559258,0,0,0.0734661512868074,0,0.037176274540598,0.00775529521203385,0.0292010268895223,0,0,0,0.0200051087766478,0.0232017947515513,0.196517501418697,0.0697325853949514,0.076761556554104,0.220992835582815,0,0.0510784770330148,0,0,0,0.076,0.362420414474892,0.929743518637641
"GSM4063831",0.0275311522450568,0,0,0.0796821638904679,0,0.0149036578509552,0,0.0380495243975683,0,0,0.0034169761966553,0.0206629497686588,0,0.139716392855447,0.101057839405081,0.144447370916488,0,0,0.226626408460336,0,0.114391919783269,0.0895136442300182,0.12,0.311267890482667,0.950016467463432
"GSM4063825",0,0,0,0.125925909630122,0,0,0.0122053614349061,0.0411891136250784,0,0.0219548123591887,0.0687255029115904,0.00977268173927977,0.0782382447162599,0.0109744962929412,0.0123596319121041,0.10725212704856,0,0.00633848777499504,0.19081322775857,0,0.288381060077642,0.0258693427187626,0.195,0.24776230528457,0.969980253000737
"GSM4063824",0.0960906243124472,0,0,0.0353094279236884,0,0.0208940161711267,0,0.0331612001550268,0,0,0,0.0153123556356533,0,0.197245327989955,0.064704775443261,0.348454870376656,0,0,0.169053936414933,0.0197734655772527,0,0,0.017,0.52520884560351,0.855515966010432
"GSM4063833",0.122842063138357,0,0,0.0372513015722606,0.0162686143823588,0,0,0,0.0425145045238502,0.0283926817591305,0.010182111676644,0,0.0622575116149365,0.169435922882185,0.0535411324588967,0.0530346306044371,0.0504863230265291,0.000599943248743099,0,0.261951094145731,0,0.09124216496594,0.471,0.119973298386089,1.05394501868608
"GSM4063834",0.110204640986395,0,0,0.062824424567324,0,0.0531257280460673,0,0.0317814245091569,0.00546315726587734,0,0,0.0800686285064667,0.0141350594959841,0.0579567368364308,0.13666322089346,0.0418178405954033,0.178262778083226,0,0.0506395322230502,0.0577726800784511,0.119284147912707,0,0.085,0.34875856979435,0.934042735323265
"GSM4063827",0.0569869647956799,0,0,0.161229308191051,0,0,0.0264197017861053,0.0485841384377257,0,0,0.00394221762923792,0.0547596315158025,0,0.0628988258218631,0.178573216586713,0.148649139041989,0.0606520456766418,0,0,0.048611195818721,0.134525332485404,0.0141682822130656,0.091,0.340833728748701,0.943394305975262
"GSM4063828",0.146387174163416,0,0,0.0435441621473079,0,0.0249056856849956,0,0,0.101388096404298,0,0,0.0270817946992622,0,0.133183905318053,0.0254852544277705,0.327661463866269,0.0775626906654192,0,0.0342658226249823,0.0313910845957624,0.016253169337683,0.0108896960647816,0.081,0.356962956369829,0.933822862140745
