"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"P10175",0.120353662779824,0,0.0199402070317535,0.0618580079352442,0,0.308392442777687,0.0130818014579272,0,0,0,0,0.0656140413473514,0.030899690622705,0.0689204315741282,0.0320843507149493,0.126479847154959,0.0411528368904151,0,0,0.111222679713056,0,0,0.095,0.118653924230224,1.04310249017143
"P10234",0.175016715911573,0,0.026627970259207,0.0835621834427714,0.0472162103427737,0,0.0237974465065046,0,0,0.00937716863744136,0,0.0251622956329592,0.0619044838161168,0.118731472623588,0.0134558886326923,0.140572818125885,0,0,0,0.233559402122383,0,0.0410159439461046,0.263,0.0607149423880957,1.08492830540395
"P10100",0.0728961068152886,0,0.0582956760761608,0.0980540238770229,0,0.259892887644591,0,0,0,0,0,0.0250339893519076,0.0813414719209916,0.0164988363102403,0.020025409230804,0.0970255974008364,0.168517851728719,0,0,0.102418149643437,0,0,0.151,0.0915516957431264,1.04235244480659
"P10188",0.0959231186740813,0.0398835090941448,0.0929741347138506,0.0898843030598284,0,0.0770004207621485,0.09795123985419,0.00914189973406395,0,0,0,0.0354933210083308,0.0131972553671782,0.0829704483133701,0.0885337776868823,0.112850490477025,0.0716935803059813,0,0,0.0925025009489245,0,0,0.003,0.40547093087144,0.913335363452838
"P10125",0.0740001723652321,0,0.0587845273044008,0.218971565017481,0,0,0.116923290223552,0.0238642675785661,0,0,0,0.0803857654732763,0.013203190798669,0.0381959828753155,0.0843667276717666,0.133971633545055,0.0520816509496842,0,0,0.105251226197001,0,0,0.012,0.301669627876898,0.9638843930395
"P10098",0.240071375871311,0,0.0836667163131628,0.0298436253751059,0,0.254330774376103,0,0,0,0,0.026196131697067,0,0.0132753057075523,0.0235468239538141,0,0,0.167336834710309,0.0125528700206246,0,0.146921205271357,0.00225833670359293,0,0.311,0.0509563416379089,1.06340849017992
"P10228",0.0697411947135857,0,0.146609854086811,0.0318236795353215,0.0159156412628795,0.139505913327236,0.0495802018926304,0,0,0,0.0155437434232283,0,0.113694788413453,0.0424952143872291,0.00896139946292635,0.133489579108795,0.118835932489644,0,0,0.113802857896261,0,0,0.171,0.0832833145015875,1.03557045800244
"P10154",0,0.0328364731267137,0.146889353381882,0.216060917847529,0,0.104899255120228,0.0107611255084815,0.0180448825582154,0,0,0,0.0451282177671224,0.0105557612034392,0.0917899962879308,0.0475304067740962,0.190390787063248,0.0312968893764979,0,0,0.0538159339846158,0,0,0.01,0.335564755952262,0.944317395248758
"P10052",0.0296977545438417,0.0132827120502387,0.133287424876347,0.10101319950863,0,0.0962896524289327,0.054677960989655,0.00995436668341068,0,0,0,0.0494160688756524,0.0594056555663918,0.0698653613512787,0.066465479583954,0.149873380782065,0.0812562147839611,0,0,0.0855147679756412,0,0,0.034,0.204410798586096,0.995129960301744
"P10229",0.107460747595211,0,0.000546657116391384,0.0823681382061645,0.0213113431791696,0,0,0,0,0,0,0.0153492863752836,0.0163289169665065,0.135356689356795,0.0495011273440817,0.158670482061823,0,0,0,0.413106611798574,0,0,0.051,0.164284888709454,1.09969649840528
