"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"SU2CLC_COL_1029",0,0.0169573613508645,0.0836652617545963,0.0933010685651057,0,0.0840044579824508,0.0160092749462318,0.0702313252989423,0,0.00667521596966236,0,0.0751687421991026,0.0278719298594593,0.0523752831670347,0.0564903948749324,0.322568660315925,0,0.0725060582415691,0,0.0221749654741231,0,0,0.005,0.292037156186978,0.964767023529192
"SU2CLC_COL_1033",0.00091289784911675,0.0146160756533904,0.0160006388975487,0.0302308114364032,0,0.258189280315173,0.0031490373545763,0.0413300682028405,0,0,0,0.00738956126156195,0.0256529490518328,0,0,0.286145610377912,0.106966641916833,0.0662748274797222,0.143141600203089,0,0,0,0.003,0.322311368221368,0.951024018083729
"SU2CLC_COL_1035",0.0946612719555686,0.10650205802722,0.0476234894134617,0.0559546061200129,0,0.470251641943635,0.0418089717963489,0.0414735788509091,0,0,0,0,0.0355897703754383,0.00233987095576884,0.000793606030671984,0.103001134530965,0,0,0,0,0,0,0,0.483534026165467,0.875490194080779
"SU2CLC_COL_1038",0.015360258384297,0,0,0.0812225496877448,0,0.332408964951866,0,0,0,0,0.0601038617342032,0.0505325507178778,0.0773898116659293,0.0519784922968541,0.01343556780279,0.0846479187405447,0.049780672458738,0.00779397329032361,0.112124818222711,0,0.0632205600461202,0,0.00600000000000001,0.275472318967439,0.975448866078107
"SU2CLC_DFC_1018",0.0166861411549348,0,0.0298256522243793,0.0106896230709241,0,0.0607471466904476,0,0.0310950979716092,0.045970208444645,0,0.0489546480822338,0,0,0.448691374880402,0.00833844126454184,0.296312431076033,0,0,0.00268923513984893,0,0,0,0,0.409072518056721,0.940320435027207
"SU2CLC_DFC_1019",0,0.00286720491837133,0.00405598188474006,0.135804990158631,0,0.225423931128248,0,0.0415677984312502,0,0,0.0065364902738994,0.043542378278361,0.0530173243817487,0.0989895649647851,0,0.128833717507094,0.0423512514813123,0.0370441043357185,0.152397533664479,0,0.0275677285913604,0,0.00700000000000001,0.266756025531582,0.97737423969303
"SU2CLC_MDA_1441",0,0,0.005891697659604,0.0261477766837434,0,0.186335880638352,0,0.00511761466610423,0,0,0.0265258416015941,0,0,0.248203267441203,0.0982186344506063,0.373041327680098,0,0,0.0119299935457387,0.0185879656329563,0,0,0,0.452195718132012,0.896678455900941
"SU2CLC_MGH_1416",0,0.0402896069232074,0.0244344630343819,0.0743775105179665,0,0.158284632848338,0.00781575615167714,0.040977029086275,0,0,0,0.014272184919249,0.0242499296434105,0.110439541104263,0.0520477961355231,0.307090758296218,0.0845633450335744,0.0315426772967464,0.0241011479614166,0.00147833961019973,0.00403528143755371,0,0.00900000000000001,0.260474467835188,0.982218169105816
"SU2CLC_MGH_1417",0,0.038683421115963,0.0324547790787294,0.0404178478708271,0,0.392117087822182,0,0.0478015160510436,0,0,0.051306143873209,0,0.0270310680525505,0.071122867384972,0.00131480600777315,0.110949686552459,0.00789181808324141,0.0661620705578931,0.112746887549156,0,0,0,0.203,0.0849189420911421,1.0583629983207
"SU2CLC_MGH_1498",0,0.00716050067407723,0.0879383734019034,0.0582466122561192,0,0.0913152346488005,0.00675637791027784,0.0271350271076416,0,0.0100233976984771,0,0.017127627217096,0.0136574637601864,0.134773661509228,0.117011282595372,0.380224314292742,0,0,0.0314706450429159,0,0,0.0171594818851627,0.013,0.24124156032185,0.999373900759208
"SU2CLC_MGH_1503",0,0,0.0297139796388679,0.0666792314407968,0,0.095673732369455,0.0120001753930997,0.0227371319428227,0.00731108310998308,0,0,0.0181829046838192,0,0.213207247479557,0.0857823884852778,0.376090653504759,0,0.0541794677441793,0,0.0123257809865001,0,0.00611622322088284,0,0.448297348111248,0.897038485223667
"SU2CLC_MSK_A2009",0.0497203498651858,0,0.0455850586035041,0.144128695079861,0,0.0901523576639531,0,0.032087395930389,0.0589450979818595,0,0.0214610224220942,0,0.00921562369023349,0.0520826775462184,0.0388560323408214,0.432148417156846,0,0,0.0256172717190331,0,0,0,0.27,0.0682540799401583,1.06855230170082
"SU2CLC_MSK_A2013",0.0139342929715668,0.0437452795637131,0.221837995319517,0.022582771263343,0,0.15090860706556,0.00973646577932741,0.056337905975063,0.00347165983812283,0,0.0180040395515992,0,0.00669332213202129,0.106498135240363,0.0142711382324799,0.196383034350143,0,0.0062273588020314,0.129367993915148,0,0,0,0.002,0.3524984952138,0.936498744605529
"SU2CLC_MSK_A2014",0.00188105526381199,0,0.078461284306417,0.048871000944852,0,0.238907203758542,0,0.0201228367867285,0.0190909994110003,0,0,0.0443062959794997,0.0228249177585378,0.290654806559495,0.0513591691186985,0.151377417344257,0.00259442728712277,0,0.0295485854810375,0,0,0,0.00600000000000001,0.283576068546051,0.978571344465074
"SU2CLC_MSK_A2060",0.0209981659692808,0,0,0.0997760955256283,0,0,0.0314097794233708,0.0810682211729869,0,0.0768704134363947,0,0.0206188956694677,0.00380454034068703,0.181985182180814,0.151373756345736,0.205746549384853,0,0,0.0940904228384198,0,0,0.0322579777123612,0,0.546165982221442,0.839284059131222
"SU2CLC_MSK_A2075",0,0.000762838292414939,0.0889850249236467,0.184295881160117,0,0.0275562376132337,0.0368698211624774,0.0441358683192477,0,0,0,0.00540506073112961,0.069870913987481,0.0385566798779055,0.0137091827876816,0.446465923134125,0,0.0261168626592781,0.0166091973691154,0,0,0.000660507982145594,0.022,0.203941251958695,1.00854619657129
