"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"Pt1",0.0381921013281772,0,0.00969620610778928,0.144361537848455,0,0.0357750631864488,0.0940797949723591,0.0433765751490398,0.00890279321166981,0.020571000768899,0,0.00225804293132201,0,0.0315566741174553,0.145460515617375,0.321751673820775,0.0693047880631484,0,0.0120757661154123,0,0.00135559546267731,0.0212818712989967,0.021,0.225240664588629,1.00184174621902
"Pt2",0.00879939022689875,0,0,0.1067759219384,0,0.148956170914325,0,0.0206161646222584,0.0294637659046069,0,0,0.0200196786174976,0.0704675536170894,0.0587699179270117,0.156931918660455,0.331434503087165,0.012193291164742,0,0.0244026558402598,0,0,0.0111690674792897,0.001,0.432014275943944,0.903027489711732
"Pt39",0,0.0173847187584782,0,0.0534652901075972,0,0.16727846137528,0.00063900804401939,0.0037083793669335,0,0,0,0,0.098892724016851,0,0,0.40356250997966,0,0,0.208227326223885,0,0,0.046841582127296,0.358,0.0411775796427642,1.08478611395194
"Pt82",0.0265774162205196,0,0.032495662044981,0.100345625005245,0,0.0448345887802903,0,0.0385130936966659,0.0169332599337816,0.00526977917751517,0,0.0269671851637495,0,0.084783524381186,0.0430932732879774,0.4520215242699,0.0922129169574542,0,0.0266460531085109,0,0,0.00930609797222424,0.00700000000000001,0.315564441544958,0.963123775927534
"Pt49",0.00903853946722721,0.0130300120928999,0.094972025635479,0.173693620292387,0,0.0921640427380955,0.0108770563280849,0.0489364376345687,0.00821502123846052,0.0264486277195137,0,0.0255416611443625,0,0,0.092225057566678,0.369910451083483,0.00344184400554193,0,0.0163406090334991,0,0,0.0151649940197189,0,0.470907186686343,0.881815589223497
"Pt85",0,0.021922801020212,0.00531429383480676,0,0,0.42387354067136,0,0.00621062297075541,0.014452301533016,0,0.0807841506178751,0.0206027171971536,0.0261393969789542,0.114753543344673,0.00090979779964299,0.202030094638157,0,0,0.0756657461243532,0,0,0.00734099326904009,0.758,-0.00877911484687215,1.10236312299556
"Pt101",0.110463047311428,0.338927195796657,0,0.0861934990657612,0,0.130648740088852,0.00315367446897871,0.0487063732543321,0.0428942215510141,0,0,0.0134265566280409,0,0.0533701115799989,0.0661037822044174,0.0718408868442193,0,0,0.015537098190288,0,0,0.0187348130160126,0,0.651831991183418,0.779435329098646
"Pt47",0,0.00467465790897821,0,0.0431120197057256,0,0.158861995152775,0.0309701144055218,0,0,0,0.00191217252709579,0.0101752324613336,0.0910255214262433,0.0219520114384607,0.058644505731765,0.459345487045778,0.0777563839435191,0,0.0408842102504398,0,0,0.000685688002364316,0.005,0.320085525624411,0.960302750666249
"Pt52",0.00899786207105128,0,0.0458581693539238,0.0469944489814354,0,0.146924547070347,0.0282324198876276,0,0.00828949010365125,0,0.0146886381048712,0,0.0498569157241207,0.0893610085000495,0.0674483092785142,0.457815354310498,0,0,0.0278691598933318,0,0,0.00766367672057801,0.017,0.249873728289561,0.995192402181724
"Pt67",0.0518367477023747,0,0.127663676561351,0.208290523041383,0,0.177620544918393,0,0.0420596451936786,0.0275615407846321,0,0,0,0,0,0.0380056167499798,0.196458459551125,0,0,0.126785076245884,0.00371816925119966,0,0,0.055,0.169084722987001,1.01264904344214
