"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"Pt23",0.00314522867506242,0,0.0423961021600341,0.111689908250694,0,0,0,0.0702527780059254,0.0066620274136091,0.0199409525029575,0,0.0568714964926451,0,0.0664278984100843,0.0597462333089667,0.469785704863057,0.0101826721502752,0,0,0.028905502043048,0,0.0539934957236409,0,0.46724888972963,0.883793855331423
"Pt59",0.0185952611689415,0,0.0533982082563878,0.155795799253763,0,0,0.0743464604225109,0.00604147693369906,0,0,0,0.0525207390809848,0,0.0377752821953997,0.0612165425742686,0.438188779304478,0.0363549142685278,0,0.0524985479013445,0,0,0.0132679886396944,0,0.375281369340707,0.929591448731342
"Pt66",0,0.0196382095494284,0.026514465913208,0.199892909981068,0,0,0,0.000343232276387465,0,0,0,0.0508623329275836,0.0131778591668642,0.044059313541222,0.0370450144040268,0.490932716561143,0,0,0.108733441949897,0,0,0.00880050372917146,0.524,0.0225814516948217,1.10031634888741
"Pt76",0,0,0.0102941425198184,0.00172452398576712,0.0166988779552087,0,0.0694861487688967,0.0189088194574933,0,0.0454011597307596,0,0,0,0.132120587510576,0.00500652152540346,0.208032108680062,0,0.0347681495710939,0,0.0163142373218956,0,0.441244722973025,0.005,0.261650069205756,1.06041101308068
"Pt89",0.0104091041071809,0,0.0243338877885144,0.0116226882420102,0,0.0632660029487361,0,0.055868927150418,0,0.0133962363439104,0,0.00601740522950066,0,0.0987160129570954,0.072709702207996,0.302676386651719,0.0569262507256754,0,0.255664867519993,0,0,0.0283925281272508,0.051,0.164033583673612,1.03067684315978
"Pt94",0.0707946726574647,0,0.0658877827083704,0.0987224372101435,0,0.0991020330802185,0.00699632615754918,0.0290705678676929,0.00196181439489034,0.0557593399238174,0,0.0110866406487979,0,0.0160897674239923,0.0201454891042986,0.454437334449943,0.0186530573207934,0,0.000951491509730078,0,0,0.050341245542298,0.013,0.224006769570933,1.00053755785411
"Pt77",0.0939634175661047,0.179553717913815,0.0379503079706036,0.119897282292401,0,0.105548348393305,0.0478689862932843,0.10145242603096,0.00211079784135353,0,0,0.0201727350291556,0.00454882668549753,0.0185697213825556,0.0902776117825314,0.116068690772723,0.0152923070784775,0,0.0451638267332931,0,0,0.00156099623393821,0,0.373026766752567,0.928000632544095
"Pt84",0.000174483034384695,0,0.0229927692184731,0.0208923421979921,0,0.146395216170359,0,0.000937576844318546,0,0,0,0.0917695069317696,0.0785954572052599,0,0,0.481854648359597,0.00205727525917345,0.00354302730379305,0.148639229822296,0,0.00214846765258372,0,0.599,0.0150057966263303,1.10213950184533
"Pt62",0,0.0610991485963433,0.0797373940386648,0.15636064784047,0,0,0,0.0367546625500205,0,0.0021020630916611,0,0.0355248701918167,0.0167417093355862,0.0140866130476959,0.0151972015731305,0.30183204336597,0.170925205314824,0,0.0649690229169119,0,0.0262815700098021,0.0183878481271033,0.262,0.0625805792305365,1.05348786988898
"Pt72",0,0.0673860368442179,0.0158007560769944,0.00838101316719065,0,0.135595903369798,0,0,0,0,0.0521618400607064,0,0.0279905178926784,0.144396360305788,0.00984213866489894,0.307556566924761,0.00290911816840939,0,0.144645438332158,0,0,0.0833343101923976,0.381,0.0416769696022553,1.08017547065559
