"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"P_5",0.185643482571375,0,0.0616788167247449,0.158440005963282,0,0.31690380779595,0,0,0,0,0,0.0151197578874807,0.0198256067568097,0.0661415963503431,0.0521055362307271,0.103972212947653,0,0,0.0201691767716333,0,0,0,0,0.802773856583148,0.693128942217332
"P_7",0.063568485573654,0,0,0.0320330671371244,0,0.143550015872842,0,0.00597412803882607,0.0304844235610242,0.0373266238827147,0,0.0438081622897537,0,0,0.0787325123010981,0.171682583224505,0.0191103694138186,0,0.373729628704639,0,0,0,0.016,0.463622119291373,0.895571985324453
"P_8",0.0518920149860467,0,0.0315080460203963,0.023418332559891,0,0.137610936534784,0,0,0.0310237810205832,0.0364727452897742,0,0.0192893886216678,0,0,0.0486054640645162,0.153127818221542,0.0313119992021293,0,0.431443995182343,0,0.00429547829632586,0,0.00900000000000001,0.504101423103688,0.898217381575532
"P_9",0.0505099365125349,0,0.120527017916748,0.0663431406572394,0,0.0948372932000996,0,0,0,0.0441035689219662,0,0.0275082706234225,0,0,0.0589709158186378,0.344328798004991,0,0,0.192871058344361,0,0,0,0.00700000000000001,0.548654961068916,0.860601527028842
"P_10",0.078153386850709,0,0.0222643200242848,0.0264558712430619,0,0.0511608851746425,0,0.000310097966920716,0,0.141470151602847,0,0.0437152749219434,0,0,0.018363244356467,0.296037026080074,0.0259009714427384,0.00901901658272163,0.283410133365383,0,0,0.00373962038820774,0.025,0.430369328633256,0.903993200559468
"P_18",0.142535025443082,0,0.0412051093593001,0,0,0.310173587836288,0,0.00656707994405647,0.00557716532730367,0.0490627739391268,0,0.0231525785800101,0.0345576258092432,0,0.0831704101050255,0.160724023167436,0.00644359335518912,0,0.136831027133938,0,0,0,0.036,0.406191579157091,0.910947080745141
"P_19",0,0.0470881517645251,0.0441370428227406,0.260750879969241,0,0.0814503886952811,0,0.0212196059202917,0.022025424213383,0.00334594839001187,0,0.101629228303579,0,0.0245555500957416,0.154580170546309,0.015408179464658,0.0197732604481866,0,0.130483042432409,0,0,0.0735531269336418,0.00600000000000001,0.561174446925713,0.826512155882619
"P_22",0.0360326099906702,0,0.0114102105579844,0,0,0.301547052424108,0.0373529811104701,0,0.00935942293112474,0,0.119571406647319,0,0.19986415081448,0,0,0.222869156175908,0,0.00911216056689257,0,0.0528808487810431,0,0,0.505,0.0828372602453142,1.04413879968748
"P_23",0.0302332805403032,0,0.0428259786953197,0.0370624697146852,0,0.192692729286755,0,0.029939230039199,0.0374268969006853,0.0367205508134988,0,0.0359181680733882,0.00724519884051268,0.182875997642172,0.0782184495170481,0.145129387418615,0.00431702017802363,0,0.135027598584179,0,0,0.00436704375561438,0.003,0.617452620111061,0.806765454025731
"P_25",0.0134545528740309,0,0.0570559702971448,0.193890354521522,0,0.122366761937791,0,0.0531018236393027,0,0,0,0.0669319794044305,0,0,0.180137531682373,0.0894898350674233,0,0.0138378693584125,0.111022855483692,0,0,0.098710465733877,0.004,0.610606147321783,0.795344903299757
"P_31",0.0887459725848315,0,0.0220811926790135,0.157162698866962,0,0.348874712257487,0,0,0,0,0,0.0439286108079467,0,0.0116776384240526,0.0955824325575599,0.165195350428094,0,0,0.0667513913940531,0,0,0,0.002,0.690472949150856,0.749529762234652
"P_37",0.0814222209122951,0,0.0661268204767422,0.101370085264015,0,0.16676670028979,0.00104596429658342,0.0340515100373577,0.00967469916140279,0.0403405995480492,0.0234185867485347,0,0.0918880922031312,0.0643659881601397,0.0832465169486472,0.104092447479836,0,0,0.132189768473476,0,0,0,0.00900000000000001,0.500041916021121,0.872565734804944
"P_42",0.0943264104782312,0,0.178811952321611,0.0296928932182203,0,0.220138794949666,0,0.028426297470412,0,0.0258567611174998,0.00283397798244208,0,0,0.0455532546197187,0.120118941007197,0.203519713478375,0,0,0.0238311211949057,0,0,0.0268898821617212,0.002,0.675498193047103,0.786720954870645
"P_43",0.0460326612106489,0,0,0,0.00203769902675919,0,0.0043260739667032,0.00398434409071158,0.0259084662606989,0.0385117859109898,0,0,0,0.606447159688024,0.033690857935553,0.18057108329749,0,0,0.0376523876971115,0,0,0.0208374809153107,0,0.955283271210339,0.340944080155611
"P_47",0.0759309465913738,0,0.00545707400510133,0,0.0227539383926867,0.0914230512270116,0,0,0,0.0368794948797302,0.0273072560041278,0,0,0.0155011287036098,0.0371742640796089,0.453180975763325,0.0192290917873767,0,0.20505494100768,0.0101078375583683,0,0,0.00900000000000001,0.488309120297912,0.877311044700275
"P_50",0.199675428376952,0,0.0189555538280766,0.00560275357860216,0,0.167494981662505,0.00363087460304637,0,0.0187135727667809,0.0508432677252807,0,0.016589740451667,0,0,0.0394166512057959,0.438396926027877,0,0,0.0121531945087077,0.0250563714850711,0,0.00347068377963773,0.039,0.391473527157559,0.916960409495365
