"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"gbm_24",0.00252306159715328,0.00820623362765305,0.00723320993294654,0,0,0.0693864935741603,0.0114760608916768,0.0110931372305019,0.00112289321342838,0,0.0755523650772613,0,0.0722474610189962,0.0110848289789127,0.0127825224502608,0.442027059453093,0.00804786629327839,0,0.250478976518202,0,0,0.0167378301424757,0.111,0.110357669969103,1.06143981653537
"gbm_101",0.0199809037648591,0,0.0116307779581703,0.0510860282470843,0,0.046774498289293,0,0.102211874989977,0.0179618290453809,0,0.0973289074515487,0,0.157341610548714,0.105388335537149,0.0480647659122234,0.243383804309962,0,0,0,0.0454140620586662,0.0331590651316509,0.0202735367553225,0.048,0.163354995191615,1.02393620966955
"gbm_46",0.000108955883672917,0.00406029929850397,0.00874377237145228,0,0,0.209634339109471,0,0.0276972190469252,0,0,0,0.124590068439458,0.195424707526495,0.0168740421279545,0.0361503834636874,0.294099017832293,0,0,0,0.0620412232565783,0.00605668527238256,0.0145192863711256,0.246,0.0579697605577623,1.08112865390211
"gbm_104",0.0134381621290135,0,0.00269658384230917,0.0342767480896267,0,0.153735271537287,0,0.0191844996810538,0,0,0,0.0942338682150422,0.268873903941683,0,0.0255838233309047,0.3024641491386,0,0,0,0.0782555193029513,0.00391473792563105,0.00334273286589762,0.186,0.0767760976536652,1.07595710881172
"gbm_53",0.000146753584867995,0.0039652047872629,0.0137268381445228,0,0,0.179006503346285,0,0.0160756516898837,0.0189709961859075,0,0.0788960763255194,0,0.0716695577501965,0.289172107038793,0.0356671370914218,0.257761805497487,0,0,0.0144078845479569,0,0.0010932745696889,0.0194402094402066,0.049,0.16002815782473,1.04652547085648
"gbm_13",0.02710978772978,0,0.00241188814615259,0,0,0.122019773111955,0,0.032126010350247,0,0,0.0429906238381338,0.0292032859746731,0.358518581118236,0,0.0252511011770277,0.237347533776302,0,0,0,0.103136241054205,0.0198851737232876,0,0.223,0.0636115603863105,1.08437477496226
"gbm_55",0.00237274443307813,0,0.00412216492130017,0.0408845794012989,0,0.103366821662667,0,0.00946450879167175,0.0170102163439314,0,0.135235182125491,0.0281133946563486,0.259028587398022,0.0854680830269011,0.0258317175324871,0.119570759537801,0.00114703104649588,0,0,0.0541747788778558,0.0252666753174563,0.0889427549271949,0.286,0.0471788934379726,1.09338019305989
"gbm_20",0.00608763521770887,0,0.00177992910909999,0.0406387934934909,0,0.140762863099363,0,0.0530997108538545,0.00900851175966032,0,0.0464162136956351,0,0.014263948999866,0.212132176635195,0.044221089691647,0.367581282789962,0,0,0,0.0384992901091826,0,0.0255085545453355,0.116,0.106588706844601,1.07256357114749
"gbm_56",0.000941882559601483,0.00353494618932534,0.018023479565022,0.0740699984958151,0,0.120330688248404,0,0.0237663920746917,0.00670734324732856,0,0.0620353497232144,0.0726832108504793,0.120166070573151,0.0209208629738559,0.00554873554939535,0.4378899551644,0,0,0.0160808804330911,0,0,0.0173002043522247,0.207,0.0683002744687117,1.08159713271056
"gbm_3",0.0391669273386701,0,0,0.0119210913413924,0,0.102508819205086,0,0.0380489133339867,0,0,0,0.0563664032906895,0.177708990926991,0,0.0169536602002028,0.363637194194566,0,0,0,0.1770102329202,0.0115308417251297,0.00514692552308612,0.404,0.0261510306246395,1.10509907021253
"gbm_25",0,0.0120012697828717,0.00247602788911385,0.0609913317544804,0,0.134465616575422,0,0.0301752002229447,0.0033036964789587,0,0.0883228719547864,0.0293487340510029,0.0853123841954453,0.138582140049777,0,0.361228134707804,0,0,0.0293422390542668,0,0,0.0244503532831258,0.0620000000000001,0.146315008738543,1.04453515623652
"gbm_102",0.0625808642522066,0,0.0314458089702287,0.0146943215377875,0,0.098470531805926,0,0.0598477776144466,0,0,0,0.0491938386997778,0.229846152745834,0,0.0323339727946322,0.142724819862651,0,0,0,0.258667909731126,0.0141863636741061,0.00600763831127715,0.083,0.126998536444289,1.05968711720711
"gbm_69",0.0170640958666793,0,0.018771700151134,0.0318451197539563,0,0.109724588650878,0,0.0376532145790954,0,0,0,0.082342542890513,0.28809223607539,0,0.0349157974603345,0.179097254491138,0,0,0,0.186998209045082,0.0134952410357991,0,0.035,0.180458420463771,1.03221996529395
"gbm_21",0.0234156663339486,0,0.00526090008696799,0,0,0.0800527458306007,0,0.0665010746748519,0,0,0,0.0696399998179039,0.0304420823504812,0.322410733190011,0.069643536547341,0.200102096289376,0,0,0,0.113347337621754,0.00434919436326776,0.0148346328934963,0.002,0.338338981609817,0.963004013641695
"gbm_100",0,0,0.00407389855588642,0.250099033420363,0,0.0269633129158721,0,0.0539401228967826,0.0238923845442206,0,0,0.0353052930355316,0.148118288601314,0.00627265814299324,0.0881267140421884,0.302535374238648,0,0,0.039474711908948,0.00236237535288135,0.0188358323443702,0,0.173,0.0798119079002891,1.06470410932797
"gbm_71",0.00150672630340366,0,0.0126076530276212,0.0354864651445981,0,0.181492749646497,0.0382654289781054,0.0117333918954878,0.0536779956450643,0,0.127793492150565,0,0.22922681894758,0,0.0112930733945302,0.180998806970475,0,0.00125602303226987,0,0.0805115117744324,0.00137623581990424,0.0327736272694655,0.561,0.00625692443809206,1.09221282841571
"gbm_103",0.0118600980239672,0.0172178201125943,0.010557737034467,0.0680297882262627,0,0.185412636368066,0.00550464021672527,0.0409422592690076,0.0324768573039097,0,0.0438608090033141,0.0218489568067426,0.104738549215075,0.0256204980946498,0.0914224263543059,0.28883061830324,0.00631254373254435,0,0.0290026162446305,0,0.00184947638471556,0.014511669305783,0.138,0.0966209619949127,1.05080554001746
