"Cancer_type","CellType","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"Lung","B_cells_naive",-0.0127047014149518,0.0537384659307525,-0.118030159223659,0.0926207563937558,0.813108896373971,0,0.980466653452639,0.925261847597967
"Melanoma","B_cells_naive",0.0530893568600581,0.0953590964069295,-0.133811037695807,0.239989751415923,0.577711292334145,0,0.758389692565657,0.847309895423413
"Other","B_cells_naive",0.0967267355149491,0.0818612682634466,-0.063718402010178,0.257171873040076,0.237367067683504,0.469844992256186,0.0672984279043002,0.540214705762457
"Lung","B_cells_memory",-0.115370811995868,0.0586906316729471,-0.23040233630475,-0.00033928768698574,0.0493280813026894,0,0.562152632821512,0.239820880782792
"Melanoma","B_cells_memory",-0.158455216793997,0.115127280245499,-0.384100539713224,0.0671901061252304,0.168713878820092,0,0.509510780347569,0.476646358321357
"Other","B_cells_memory",0.0173132493534519,0.0901650143753893,-0.159406931487847,0.194033430194751,0.847728595596568,0.465848275005415,0.0695936154834967,0.941863846635961
"Lung","Plasma_cells",-0.173245180663928,0.057950463377065,-0.286826001770383,-0.0596643595574738,0.00279398613958554,0.307688341544368,0.235879034877109,0.0614676950708818
"Melanoma","Plasma_cells",-0.0339385357961042,0.0957258340232399,-0.221557722871713,0.153680651279505,0.722935026246061,0,0.78431817829579,0.867522031495273
"Other","Plasma_cells",-0.0359982924012216,0.090547453558133,-0.213468040266975,0.141471455464532,0.690952541367084,0.503275513787558,0.0495635194855982,0.867522031495273
"Lung","T_cells_CD8",0.00116781220880404,0.0852351607110702,-0.165890033001377,0.168225657418985,0.989068476292639,0.461243809925996,0.156276693658674,0.989068476292639
"Melanoma","T_cells_CD8",-0.0530575837178892,0.136483171166539,-0.32055968370012,0.214444516264342,0.697462441353381,0.490978083921064,0.0969125067310022,0.867522031495273
"Other","T_cells_CD8",-0.110180026059502,0.0793870193452335,-0.265775724816144,0.0454156726971399,0.165172170810285,0.328006380805734,0.166159955361044,0.476646358321357
"Lung","T_cells_CD4_naive",0.0482062592561692,0.0442847561330512,-0.0385902678287505,0.135002786341089,0.276351499686197,0,0.791990510739918,0.58836125739642
"Melanoma","T_cells_CD4_naive",-0.0511499677617015,0.106451021087509,-0.259790135210734,0.157490199687331,0.630870219427573,0.206306979885872,0.286244618272866,0.867216942253769
"Other","T_cells_CD4_naive",0.145349941624462,0.0504731673054136,0.0464243515201871,0.244275531728737,0.00397994670306996,0.462732138971473,0.0714077859636797,0.0631017546268776
"Lung","T_cells_CD4_memory_resting",-0.0461550479003032,0.0505749343464808,-0.145280097739883,0.0529700019392769,0.361449179993875,0,0.741444905743881,0.662371547403725
"Melanoma","T_cells_CD4_memory_resting",0.0694988404805017,0.157690945655775,-0.23956973369288,0.378567414653883,0.659409806868861,0.639716747838851,0.0254372298106087,0.867216942253769
"Other","T_cells_CD4_memory_resting",0.0646106609447182,0.0722725830502924,-0.0770409989035349,0.206262320792971,0.371329503847543,0.376079949340317,0.129331661571203,0.662371547403725
"Lung","T_cells_CD4_memory_activated",-0.052649934991103,0.0544052216924733,-0.159282210079268,0.0539823400970619,0.333175835784495,0,0.59796113494117,0.646753092993432
"Melanoma","T_cells_CD4_memory_activated",0.154929485034915,0.0949764268654626,-0.0312208910016945,0.341079861071524,0.102839380616567,0,0.451512564817194,0.357231532668073
"Other","T_cells_CD4_memory_activated",-0.13967112886182,0.0633598038478927,-0.263854062471212,-0.015488195252428,0.0274953637233127,0.175694004379758,0.295827387207468,0.166011512232809
"Lung","T_cells_follicular_helper",-0.154044509624743,0.0557632548525636,-0.263338480796496,-0.0447505384529898,0.00573652314789797,0,0.477157842369249,0.0631017546268776
"Melanoma","T_cells_follicular_helper",-0.0321389956997067,0.0884711583327416,-0.205539279702421,0.141261288303007,0.716402542707375,0,0.737565451481395,0.867522031495273
"Other","T_cells_follicular_helper",0.0127073621037755,0.08832710942687,-0.160410591231418,0.185825315438969,0.885605442416977,0.537739290418369,0.0342097910206606,0.958196052451155
"Lung","T_cells_regulatory_.Tregs.",0.0363687130250092,0.067768909407716,-0.0964559086856718,0.16919333473569,0.591504018982653,0.412722150736898,0.18217791276532,0.848679679409894
"Melanoma","T_cells_regulatory_.Tregs.",0.0517661911748052,0.113227742332498,-0.170156105847672,0.273688488197282,0.647537026554227,0.0434881287768117,0.381952726272055,0.867216942253769
"Other","T_cells_regulatory_.Tregs.",0.133961544146627,0.0983857982389369,-0.0588710769919138,0.326794165285167,0.173325948480494,0.567669113857522,0.0234249228518204,0.476646358321357
"Lung","T_cells_gamma_delta",-0.11540813216979,0.0765607386611153,-0.265464422575359,0.0346481582357797,0.131706570435191,0.406778776689462,0.185312484620161,0.434631682436132
"Melanoma","T_cells_gamma_delta",0.0590970177741611,0.0808506156614052,-0.099367277050083,0.217561312598405,0.464815282739753,0,0.442731738918819,0.720030801217507
"Other","T_cells_gamma_delta",0.00706024067205535,0.0689344775244343,-0.128048852568922,0.142169333913032,0.918423637776442,0.265540487325017,0.216756461461894,0.977676775697503
"Lung","NK_cells_resting",0.115112409917877,0.0533332059032094,0.0105812471675279,0.219643572668227,0.0308996322688022,0,0.4136064996917,0.169947977478412
"Melanoma","NK_cells_resting",0.278554377622011,0.0925359703195603,0.0971872085212054,0.459921546722816,0.00261051565922241,0.0188250591460354,0.395719173126349,0.0614676950708818
"Other","NK_cells_resting",0.0473348008340726,0.0503406010644672,-0.0513309642123817,0.146000565880527,0.3470684500927,0,0.986200022498646,0.65447193446052
"Lung","NK_cells_activated",-0.0249688377442061,0.0538724479110342,-0.130556895408843,0.0806192199204311,0.643019873963308,0,0.552984107084988,0.867216942253769
"Melanoma","NK_cells_activated",-0.142484511583899,0.109634674879616,-0.357364525804703,0.0723955026369061,0.193727815338217,0.195509003656182,0.290173453814849,0.491770608166244
"Other","NK_cells_activated",-0.0509140525450324,0.0654804101803183,-0.179253298191366,0.0774251931013014,0.43683651219846,0.000588957711731821,0.428450476173603,0.706954290376553
"Lung","Monocytes",0.127027706901695,0.0881780482589981,-0.0457980919129758,0.299853505716366,0.149702815760033,0.603273233814888,0.0804092146142774,0.470494563817246
"Melanoma","Monocytes",0.15153375964139,0.0917703578824462,-0.0283328366565561,0.331400355939336,0.0986920830595307,0,0.410482143811105,0.357231532668073
"Other","Monocytes",0.0909137848542049,0.0754818241807821,-0.0570278720275125,0.238855441735922,0.228417223014584,0.400545435025346,0.111683662193326,0.538412025677234
"Lung","Macrophages_M0",0.166021573134675,0.0503456654158089,0.0673458821419858,0.264697264127364,0.000975031715231181,0.268922657131797,0.254655320518014,0.0614676950708818
"Melanoma","Macrophages_M0",0.0017273890918116,0.0952119431754797,-0.184884590430203,0.188339368613826,0.985525119695013,0,0.4908171861511,0.989068476292639
"Other","Macrophages_M0",0.102121919934548,0.0535095306220539,-0.00275483291432117,0.206998672783416,0.0563290827969414,0.176470262208372,0.290573005014888,0.247847964306542
"Lung","Macrophages_M1",-0.0166891853063748,0.0521279371786007,-0.118858064764799,0.0854796941520491,0.748848426223414,0,0.734680357218451,0.871217094933859
"Melanoma","Macrophages_M1",-0.30041156930953,0.106631490427732,-0.509405450165713,-0.091417688453347,0.00484311454047282,0,0.540544678926742,0.0631017546268776
"Other","Macrophages_M1",-0.0969268791225112,0.0765164230343332,-0.246896312495635,0.053042554250613,0.205246096727405,0.363567257026535,0.138671129708299,0.501712680889213
"Lung","Macrophages_M2",0.117589629950931,0.0516333344159775,0.0163901540939027,0.218789105807959,0.0227624955245066,0,0.605168449453004,0.166011512232809
"Melanoma","Macrophages_M2",0.110904192352521,0.110197095173402,-0.105078145388279,0.326886530093322,0.314215183339725,0.285991586321621,0.230893146166101,0.628430366679449
"Other","Macrophages_M2",0.0120744440825124,0.066649719728418,-0.118556606164876,0.1427054943299,0.856239860578146,0.21984364003516,0.254632115090349,0.941863846635961
"Lung","Dendritic_cells_resting",-0.210911623582105,0.0957838632176515,-0.398644545788813,-0.0231787013753971,0.0276685853721349,0.468460770069097,0.152387496339427,0.166011512232809
"Melanoma","Dendritic_cells_resting",0.128592762927233,0.0964357972416104,-0.0604179264867304,0.317603452341197,0.182382646083992,0.190872019954676,0.293134253272156,0.48149018566174
"Other","Dendritic_cells_resting",0.13078403328615,0.05084485045962,0.0311299575859697,0.23043810898633,0.0101049276671599,0,0.759037333531211,0.0952750322903644
"Lung","Dendritic_cells_activated",0.0167504971587112,0.0530991609090574,-0.0873219458323384,0.120822940149761,0.752414763806515,0,0.701157859761911,0.871217094933859
"Melanoma","Dendritic_cells_activated",0.0921139326678095,0.0881027226825627,-0.0805642307299334,0.264792096065552,0.295778643579089,0.337553766985631,0.196311669921296,0.610043452381871
"Other","Dendritic_cells_activated",0.099617716567955,0.051018884500416,-0.000377459584269074,0.199612892720179,0.0508710959236225,0.139723625120373,0.323211608105696,0.239820880782792
"Lung","Mast_cells_resting",-0.0397221434200158,0.0562421870942183,-0.149954804536447,0.0705105176964155,0.480020534145005,0,0.801687074656064,0.720030801217507
"Melanoma","Mast_cells_resting",0.112072666442802,0.136236558412648,-0.154946081423674,0.379091414309279,0.410716819819114,0.539647311782595,0.0693611736705751,0.706954290376553
"Other","Mast_cells_resting",0.00186976837023166,0.0640397032995345,-0.123645743677487,0.12738528041795,0.976707459509092,0,0.850732602556596,0.989068476292639
"Lung","Mast_cells_activated",0.13022910302727,0.0795227438146568,-0.0256326108012626,0.286090816855803,0.10149818684131,0.570748832203197,0.0973309364423776,0.357231532668073
"Melanoma","Mast_cells_activated",0.143621603770871,0.182134056122008,-0.213354586586463,0.500597794128204,0.430375726067943,0.597132470957195,0.0416438863679993,0.706954290376553
"Other","Mast_cells_activated",0.0820138348700227,0.0710571995502826,-0.0572557170908068,0.221283386830852,0.24842040255999,0.419439843275936,0.0986895334592594,0.546524885631978
"Lung","Eosinophils",-0.00300841445515437,0.050806630610012,-0.102587580626608,0.0965707517162993,0.95278243278377,0.252468224049801,0.262439217673043,0.989068476292639
"Melanoma","Eosinophils",0.188787029932026,0.0838348655200449,0.0244737128639791,0.353100347000073,0.024329122737188,0,0.89808595141183,0.166011512232809
"Other","Eosinophils",0.0398515726151386,0.0515145777029408,-0.0611151443614154,0.140818289591693,0.439168574324829,0,0.976517760691797,0.706954290376553
"Lung","Neutrophils",0.168982242669288,0.102054778724878,-0.031041448081678,0.369005933420253,0.0977624467859516,0.771702668770889,0.0125221939461586,0.357231532668073
"Melanoma","Neutrophils",-0.0441147349486853,0.103560498805616,-0.247089582828696,0.158860112931326,0.670122182650639,0,0.702591196813853,0.867216942253769
"Other","Neutrophils",0.0392035627976674,0.0546556977805229,-0.0679196364020633,0.146326761997398,0.473199946889837,0,0.4737394462311,0.720030801217507
