"Cancer_type","CellType","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"Lung","B_cells_naive",0.0478285771452791,0.0404260393256338,-0.0314050039705631,0.127062158261121,0.23676432244254,0,0.641770700760315,0.603671543895057
"Melanoma","B_cells_naive",0.102594269518837,0.070384079812041,-0.0353559919977557,0.24054453103543,0.144941289295554,0,0.935462546130818,0.531451394083697
"Other","B_cells_naive",0.00879639973514508,0.12036714164744,-0.227118862815868,0.244711662286158,0.941742661571746,0.372000731507591,0.173205247526607,0.991445474727558
"Lung","B_cells_memory",-0.047101989187354,0.0465624151779219,-0.138362645969282,0.0441586675945742,0.311734996067055,0,0.857306613528007,0.613342794939664
"Melanoma","B_cells_memory",-0.0194525215702468,0.0754911452412844,-0.167412447394846,0.128507404254353,0.796654258254792,0.111368473452823,0.342392973196422,0.910079976578722
"Other","B_cells_memory",-0.0738555694460145,0.0784527928482187,-0.227620217915105,0.0799090790230758,0.346499193654962,0,0.836746984892033,0.653398479463643
"Lung","Plasma_cells",-0.061334628057429,0.0734239310661972,-0.205242888550527,0.0825736324356691,0.403521077485376,0.48280254700117,0.0852240853232137,0.719794354433373
"Melanoma","Plasma_cells",-0.0751925961091876,0.0729901012984903,-0.218250565882159,0.0678653736637836,0.302927744178048,0,0.811821437549616,0.613342794939664
"Other","Plasma_cells",-0.0179294209648568,0.0800567672325146,-0.174837801459292,0.138978959529578,0.822789328300671,0,0.868905889405551,0.910079976578722
"Lung","T_cells_CD8",-0.0498902056557632,0.0447819739333275,-0.137661261721697,0.0378808504101702,0.265249617772071,0,0.95360849882639,0.603671543895057
"Melanoma","T_cells_CD8",-0.145432817273606,0.0860147518000776,-0.31401863294091,0.0231529983936975,0.0908770619755553,0,0.658431659578108,0.506929700646021
"Other","T_cells_CD8",0.00115845752276579,0.0793954705270019,-0.154453805245769,0.156770720291301,0.98835849741298,0,0.838539917671106,0.991445474727558
"Lung","T_cells_CD4_naive",0.0680838560321717,0.0404282739487251,-0.0111541048644484,0.147321816928792,0.0921690364810947,0,0.798357840866043,0.506929700646021
"Melanoma","T_cells_CD4_naive",0.0248213350392297,0.0924048140538753,-0.156288772504486,0.205931442582946,0.788225835557019,0.389511979193738,0.161534947550032,0.910079976578722
