"CellType","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"B_cells_naive",0.00525112130602969,0.0653940225566443,-0.122918807709193,0.133421050321252,0.935998885707301,0,0.814506653350866,0.980570261217173
"B_cells_memory",-0.0719449325826973,0.0727295987032175,-0.214492326651055,0.0706024614856599,0.322559826679683,0,0.956277078492065,0.540651267986935
"Plasma_cells",-0.127868257624263,0.0627113650487057,-0.25078027454107,-0.00495624070745566,0.0414503708504543,0.0156984913441264,0.437557318154417,0.130272594101428
"T_cells_CD8",-0.260159917822208,0.0695682154365902,-0.396511114546648,-0.123808721097767,0.000184285710369585,0.0149879295743447,0.438435905223795,0.00202714281406544
"T_cells_CD4_naive",0.0250834116384196,0.0823095110010554,-0.136240265508752,0.186407088785592,0.760560376383883,0,0.683160591599142,0.92957379335808
"T_cells_CD4_memory_resting",0.177002213100856,0.0726681352633668,0.0345752851609718,0.31942914104074,0.0148604977048906,0.233227860312667,0.167939228239544,0.0653861899015184
"T_cells_CD4_memory_activated",-0.186917302194946,0.0715544454675503,-0.32716143824508,-0.0466731661448117,0.00899513861509436,0.18655729607786,0.226344403682013,0.049473262383019
"T_cells_follicular_helper",-0.147084662960121,0.0661105382597619,-0.276658936947812,-0.0175103889724308,0.0260926992407234,0,0.670381004095528,0.095673230549319
"T_cells_regulatory_.Tregs.",-0.0145256767311391,0.067501511686824,-0.146826208539324,0.117774855077046,0.829618881875763,0,0.81021808832766,0.960611336908779
"T_cells_gamma_delta",-0.0914018047964882,0.0685431094842572,-0.225743830774018,0.0429402211810417,0.18236984099943,0,0.643077604677673,0.401213650198746
"NK_cells_resting",0.0597730213767798,0.0709808697960109,-0.0793469270147284,0.198892969768288,0.399731737452322,0,0.751164816158826,0.549631138996943
"NK_cells_activated",-0.184376390829498,0.0624154653974391,-0.306708455086785,-0.0620443265722118,0.00313665993866431,0,0.660324791975308,0.0230021728835383
"Monocytes",0.124149562079249,0.0658255501111823,-0.00486614540120514,0.253165269559703,0.0592896842739615,0,0.738522191072278,0.163046631753394
"Macrophages_M0",0.115296132976061,0.0699700862849337,-0.0218427161375695,0.252434982089691,0.0993954065519823,0.116039921524868,0.31014769854283,0.24296654934929
"Macrophages_M1",-0.31202642953098,0.0814443317929626,-0.471654386590117,-0.152398472471843,0.000127539489791638,0.393945302074054,0.0369378924841278,0.00202714281406544
"Macrophages_M2",0.0549685653245948,0.0646855866957318,-0.0718128549178827,0.181749985567072,0.395447003018807,0,0.793357601945998,0.549631138996943
"Dendritic_cells_resting",-0.0632025120552547,0.0667967289277539,-0.194121695038737,0.0677166709282277,0.344050806900777,0,0.682970650690838,0.540651267986935
"Dendritic_cells_activated",0.0099462706614143,0.0720889200085233,-0.13134541623968,0.151237957562509,0.890262347217886,0,0.935871520541163,0.979288581939674
"Mast_cells_resting",0.000888829091971305,0.0713120473072959,-0.138880215294145,0.140657873478088,0.990055472041894,0,0.684990083582769,0.990055472041894
"Mast_cells_activated",0.0201092017566957,0.0637348816505683,-0.104808870837341,0.145027274350732,0.752371967282833,0,0.879174022303635,0.92957379335808
"Eosinophils",0.0867073315405579,0.0724184629063298,-0.0552302475715983,0.228644910652714,0.231185846511679,0,0.99448470991535,0.462371693023359
"Neutrophils",0.0919275613817909,0.0849395840342045,-0.0745509641870632,0.258406086950645,0.279132583911043,0,0.65565812571312,0.511743070503579
