"Treatment","CellType","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"PD-(L)1","B_cells_naive",-0.00498549302911224,0.0675112204359544,-0.137305053635927,0.127334067577703,0.941132223574658,0,0.733359219094108,0.94558209681952
"PD-(L)1","B_cells_memory",-0.0489417565039506,0.0761726148715145,-0.198237338260359,0.100353825252458,0.520541333959288,0,0.947362034636318,0.763460623140289
"PD-(L)1","Plasma_cells",-0.121760519784184,0.0647595188311381,-0.248686844349358,0.0051658047809898,0.0600815146380094,0.111624908311656,0.320778530488865,0.165224165254526
"PD-(L)1","T_cells_CD8",-0.2670195541836,0.073684098817294,-0.411437734098787,-0.122601374268413,0.000290258621717629,0.0469216862997353,0.3991971379049,0.00638568967778784
"PD-(L)1","T_cells_CD4_naive",0.0222645918971022,0.0848933129572298,-0.144123244027356,0.18865242782156,0.793116715385939,0,0.702684647690773,0.94558209681952
"PD-(L)1","T_cells_CD4_memory_resting",0.190855558459053,0.0752018447052853,0.0434626512657199,0.338248465652386,0.0111516468915436,0.254810993288903,0.155437963731395,0.0490672463227917
"PD-(L)1","T_cells_CD4_memory_activated",-0.200586081795488,0.0761722829070218,-0.349881012913447,-0.0512911506775296,0.00845543606746437,0.236882876107606,0.17979657116545,0.046504898371054
"PD-(L)1","T_cells_follicular_helper",-0.141054691970044,0.0689404230052766,-0.276175438139343,-0.00593394580074505,0.0407526795505695,0,0.558133728984649,0.149426491685422
"PD-(L)1","T_cells_regulatory_.Tregs.",-0.00687676187911023,0.0694981895320316,-0.143090710352631,0.12933718659441,0.921178928788612,0,0.801384762914607,0.94558209681952
"PD-(L)1","T_cells_gamma_delta",-0.097494702610614,0.0706689225815436,-0.236003245696689,0.0410138404754607,0.167710460759374,0,0.530247307688886,0.368963013670623
"PD-(L)1","NK_cells_resting",0.0536992136790269,0.0737023887461536,-0.0907548138380044,0.198153241196058,0.466249257338534,0,0.662588656269697,0.732677404389124
"PD-(L)1","NK_cells_activated",-0.187953356047604,0.0646642429305954,-0.314692943279119,-0.0612137688160878,0.00365375258674259,0,0.607810981995607,0.0267941856361123
"PD-(L)1","Monocytes",0.129353691448844,0.0682788950813803,-0.00447048381485066,0.263177866712538,0.0581599858829788,0,0.680515206404297,0.165224165254526
"PD-(L)1","Macrophages_M0",0.123040849882357,0.0715276104388902,-0.0171506904780789,0.263232390242793,0.0853984952950991,0.109928543649308,0.322845829379567,0.20875187738802
"PD-(L)1","Macrophages_M1",-0.303953211798985,0.0891385994208643,-0.478661656296222,-0.129244767301748,0.000649880351003039,0.45112451743835,0.0201271225240555,0.00714868386103343
"PD-(L)1","Macrophages_M2",0.0503094695483444,0.0666852348069249,-0.0803911889738251,0.181010128070514,0.450589912373739,0,0.75966572357914,0.732677404389124
"PD-(L)1","Dendritic_cells_resting",-0.0382034266122475,0.0698516244004425,-0.175110094698734,0.0987032414742389,0.584431961685574,0,0.662134699015302,0.803593947317664
"PD-(L)1","Dendritic_cells_activated",0.00494264717877845,0.0724137027369948,-0.136985602172921,0.146870896530478,0.94558209681952,0,0.898630797653938,0.94558209681952
"PD-(L)1","Mast_cells_resting",-0.0114623211971869,0.0743352469911938,-0.157156728081816,0.134232085687442,0.877453886585106,0,0.583226380077119,0.94558209681952
"PD-(L)1","Mast_cells_activated",0.0173547493942129,0.0653233807939146,-0.110676724310255,0.145386223098681,0.790489987998269,0,0.857707782553533,0.94558209681952
"PD-(L)1","Eosinophils",0.09083612367941,0.0753861463713463,-0.0569180081416937,0.238590255500514,0.228224721741493,0,0.994137422225424,0.418411989859403
"PD-(L)1","Neutrophils",0.110390709870945,0.0881144325016029,-0.0623104043503825,0.283091824092272,0.210274581848396,0,0.585847750456888,0.418411989859403
