"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"GSM2445681",0.0807104909437855,0,0.0685683282092512,0.0259126014635032,0.0377358319758869,0.0252040968313011,0.0140555159443503,0.0454254016342112,0,0.0587305379215459,0,0.0739161329784492,0,0.190110139383564,0.0302959564718979,0.251612221921498,0,0,0.0709003908822554,0,0.00696704560007293,0.019855307838427,0.004,0.408511367610628,0.915773954316676
"GSM2445682",0.078950848798187,0,0.0284874587027536,0.0888245255158454,0,0.151871900438657,0,0,0.00921512136881994,0,0,0.0527213085380798,0,0.0602203416174533,0.0260120547134408,0.26418250748466,0,0.0712516325006718,0.143919348924755,0,0,0.0243429513966769,0.001,0.488702736293235,0.88142426832341
"GSM2445683",0.0658483841424259,0,0.0765623938157752,0.0371466053189473,0,0.051380201974001,0.0039976916051386,0.00992639573129915,0.0190265062096196,0,0,0.0374792821939888,0,0.242488109713113,0.0640262022095476,0.130454187220454,0,0,0.236915782786538,0,0,0.0247482570791509,0.192,0.156268463108721,0.999189214675024
"GSM2445684",0.130654234644828,0,0.144674838229297,0.013655717109188,0.00286259742854523,0.0535630220259186,0.0021096950910929,0.0178403042691203,0,0.0299755422181083,0,0.0192512052611979,0,0.334524510994609,0.0406997959147169,0.142563059071358,0,0,0.0591095950725042,0,0,0.00851588266951547,0.004,0.407946932328214,0.927193754619155
"GSM2445685",0.104923111301285,0,0.0310643677184036,0,0.00775855818995346,0,0.0464382124139288,0.0641857750356986,0,0.0482352090784947,0,0.0554672012224965,0,0.0371697557225137,0.206691398497358,0.255054989760822,0.00909363062199171,0,0.122616867559529,0,0,0.0113009228775241,0.001,0.479425805012012,0.875758767812565
"GSM2445686",0.0667550703807736,0,0.016933660282798,0.0500739311315429,0,0.149018438574076,0,0.00413115650549234,0,0,0.0450105067145594,0.0073113999762608,0,0.213701589118252,0.16212703113527,0.088472950321141,0,0,0.0878228574512153,0,0,0.108641408408618,0,0.506024680709819,0.865613476276556
"GSM2445687",0.0810152016640692,0,0.118497207165,0.0788214879195289,0,0.107026764237428,0,0.00136705623781696,0,0.0893094097315125,0,0.0362508074758798,0,0.0275097198775543,0.15907855279254,0.0639093733758066,0,0,0.22835202908742,0,0,0.00886239043544373,0,0.551523976327734,0.837247935149266
"GSM2445688",0.0343771860305296,0,0,0,0.0109202589836143,0.0122588283023364,0,0,0.00525765473321674,0,0.0369247791621829,0,0,0.219562653024015,0.0496095093996854,0.20786369028458,0,0,0.278645861612278,0.0865898678308345,0,0.0579897106367271,0.001,0.478559917244259,0.882319365241709
"GSM2445689",0.096147519091787,0,0.0322749110917078,0,0.00212100008057764,0.0335937930693672,0,0.000538052746189072,0.0112499395430461,0.00882154463297619,0,0.0189558026662683,0,0.357111508133806,0.0478599086355703,0.217796364805304,0,0,0.0987550969452213,0,0,0.0747745585581793,0.111,0.202765261811359,0.983517562908386
"GSM2445690",0.147905446819736,0,0.261463618669675,0.0491843270363212,0,0.0573579749221889,0.0302985247626349,0.0310282566865967,0,0,0.00622045552531835,0.0218907856239206,0,0.124843947303295,0.064826514202067,0.0980381997303306,0,0,0.0875347721997402,0,0.00368826209360553,0.0157189144245702,0.002,0.471574343344995,0.899403228734031
"GSM2445691",0.0580583828232245,0,0.0604396928032989,0.0176137225470985,0,0.0120593866213084,0,0.00762636113914654,0.0137969984196568,0.0274153689636087,0,0.0554547898389064,0,0.174436222253214,0.049710689609788,0.236593584743535,0.0243367417524878,0.00620630849192651,0.25045807689755,0,0,0.00579367309525027,0.004,0.417868268234878,0.913039710870634
