"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"GSM2445716",0.0765423865312195,0,0,0,0.0204468999918041,0.0169342703251557,0,0.0129331959783168,0.00237254429180686,0.00609993238179525,0,0.0259157951798835,0,0.0604779847346449,0.100056265835802,0.165071372876239,0.0279024734720619,0,0.48524687840127,0,0,0,0.019,0.361395530646515,0.939239865500348
"GSM2445717",0.103766974583141,0.166680210462266,0.0371839080471408,0.00651226513038918,0.126727810482663,0.0955964474479586,0,0.0299934074959289,0,0,0,0.0206771909717448,0,0.0511818859691872,0.0939486642203909,0.141903178936524,0,0,0.087712236211049,0,0.0133178717287934,0.0247979483128234,0.029,0.306042798046715,0.954506076522865
"GSM2445718",0.0766349203454727,0,0.0589573477875907,0.0187733950394625,0,0.0415904955985384,0,0,0.0131221190142329,0.014758354566093,0,0.0126800922044294,0,0.0976216743350815,0.0716070815327351,0.397802922512473,0,0,0.111376175301014,0,0.0567418675501665,0.0283335542127106,0.325,0.10560431313263,1.0175496764461
"GSM2445719",0.0406842214073793,0,0.054805915749495,0,0,0.120300040902443,0,0,0,0.115383952798788,0,0.0585106499830228,0,0.150101789245057,0.157581163691175,0.241880813389667,0,0,0.0528043559658033,0,0,0.00794709686717042,0.00600000000000001,0.494265635238796,0.868810517866986
"GSM2445720",0.0492497541419366,0.0779482436915034,0.20309053066879,0.0413430334142175,0,0.122693678036786,0,0.013698206975658,0.00124853132658143,0,0.0258156771942804,0.0206165700759898,0,0.146651610794176,0.109626916939412,0.132535318801555,0,0,0.0500356617315024,0,0,0.00544626620761226,0.00600000000000001,0.490058580097107,0.883437231110867
"GSM2445721",0.12148329072142,0,0,0.0711663898556913,0.00851748881529665,0.0094601470090209,0.0127330470325955,0.038312033506574,0.0106695394684542,0.0386049128773022,0,0.121439335665777,0,0.0635957704929501,0.166654707480801,0.20345538515291,0,0,0.133907951921208,0,0,0,0.022,0.338659504497932,0.951820599514283
"GSM2445722",0.127496576274021,0,0.0692903233994487,0.0186647651507582,0.00355016166887769,0.0682623682577829,0,0.00755809432994858,0,0.053531391000198,0,0.0384066594340465,0,0.111875369440461,0.0857924355505798,0.365634876573335,0,0,0,0,0.0161073350817872,0.0338296438387554,0.076,0.235385129179494,0.977361705982238
"GSM2445723",0.0149498218996112,0,0.0443957967665701,0.104269515067414,0,0.103625717221102,0,0.0251255188844594,0,0.0459699006737835,0,0.0580060264749224,0,0.165377712298134,0.187382192158644,0.154479444338471,0,0,0.085985544080568,0,0,0.0104328101363204,0,0.617711542844752,0.7976338690968
"GSM2445724",0.275482894038643,0,0.0465039477219143,0.0567092593278245,0,0.155538454989484,0,0.0915094505149695,0,0,0.00146946045893044,0.0538637444042419,0.00741228262821683,0.0316973851998432,0.150870916384147,0.0567087520335124,0,0,0.0722334522982728,0,0,0,0.018,0.369170271928779,0.934885933792336
"GSM2445725",0.0540073136108218,0,0,0,0.0237623315540183,0.040486863768286,0,0.00533024297789536,0.000515338419526752,0.0461530133144367,0,0.0712319140635164,0,0.0462532966360248,0.124326535312559,0.148854331093837,0,0,0.418311980174332,0,0,0.0207668390747454,0,0.65734978274399,0.77258363409349
"GSM2445726",0.120512152126213,0,0.0160422562308284,0,0,0.0518975051705388,0,0.00566220380452223,0.0274893512398955,0,0,0.0310901131893471,0,0.0963503374521012,0.0367147689166216,0.169742742362708,0.0250312558903117,0,0.384012598192812,0,0,0.0354547154241006,0.0669999999999999,0.243239318326714,0.981345935747679
