"Study","N","Expression","Age_Median","Age_IQR","Age_NA","Female","Male","Sex_NA","Cancer_Type","Treatment_Type","No_Response","Response","No_Progression","Progressed","PFS_Median","PFS_IQR","Alive","Dead","OS_Median","OS_IQR"
"ICB_Ascierto",4,"log2gNor",NA,NA,4,4,0,0,"Kidney","PD-1/PD-L1",3,1,0,0,NA,NA,0,0,NA,NA
"ICB_Ascierto",7,"log2gNor",NA,NA,7,0,7,0,"Kidney","PD-1/PD-L1",4,3,0,0,NA,NA,0,0,NA,NA
"ICB_Braun",151,"TPM",62,14,1,151,0,0,"Kidney","PD-1/PD-L1",85,33,19,132,1,0,53,98,1,1
"ICB_Braun",30,"TPM",61.5,15.8,0,0,30,0,"Kidney","PD-1/PD-L1",18,6,3,27,1,0,5,25,1,0
"ICB_Cloughesy",17,"TPM",63.3,10.4,0,17,0,0,"Brain","PD-1/PD-L1",14,0,0,17,1,0,4,13,1,0
"ICB_Cloughesy",11,"TPM",63.2,11.3,0,0,11,0,"Brain","PD-1/PD-L1",7,1,1,10,1,0,4,7,1,1
"ICB_Damrauer",34,"TPM",70.5,11,0,34,0,0,"Bladder","PD-1/PD-L1",24,8,6,27,1,0,14,20,1,1
"ICB_Damrauer",56,"TPM",70,13.2,0,0,56,0,"Bladder","PD-1/PD-L1",45,9,4,52,1,0,19,37,1,1
"ICB_Fehrenbacher",27,"TPM",NA,NA,27,27,0,0,"Lung","PD-1/PD-L1",18,3,1,26,1,0,7,20,1,0.5
"ICB_Fehrenbacher",68,"TPM",NA,NA,68,0,68,0,"Lung","PD-1/PD-L1",38,11,4,64,1,0,9,59,1,0
"ICB_Gide",14,"TPM",54.5,20.5,0,14,0,0,"Melanoma","IO+combo",4,10,8,6,0,1,11,3,0,0
"ICB_Gide",27,"TPM",57,20.5,0,0,27,0,"Melanoma","IO+combo",7,17,15,12,0,1,23,4,0,0
"ICB_Gide",17,"TPM",63,13,0,17,0,0,"Melanoma","PD-1/PD-L1",6,10,6,11,1,1,11,6,0,1
"ICB_Gide",33,"TPM",62,24,0,0,33,0,"Melanoma","PD-1/PD-L1",17,13,8,25,1,0,10,23,1,1
"ICB_Hugo",8,"TPM",60,10.8,0,8,0,0,"Melanoma","PD-1/PD-L1",4,4,0,0,NA,NA,5,3,0,1
"ICB_Hugo",19,"TPM",61,16.5,0,0,19,0,"Melanoma","PD-1/PD-L1",9,10,0,0,NA,NA,10,9,0,1
"ICB_Hwang",6,"TPM",NA,NA,6,6,0,0,"Lung","PD-1/PD-L1",5,0,0,6,1,0,2,4,1,0.8
"ICB_Hwang",15,"TPM",NA,NA,15,0,15,0,"Lung","PD-1/PD-L1",8,3,3,12,1,0,5,10,1,1
"ICB_Jerby_Arnon",56,"TPM",NA,NA,56,49,0,7,"Melanoma","NA, PD-1/PD-L1",27,19,14,35,1,1,0,0,NA,NA
"ICB_Jerby_Arnon",63,"TPM",NA,NA,63,0,56,7,"Melanoma","NA, PD-1/PD-L1",26,24,19,37,1,1,0,0,NA,NA
"ICB_Jung",5,"TPM",62,8,0,5,0,0,"Lung","PD-1/PD-L1",4,1,1,4,1,0,0,0,NA,NA
