"Study","N","Expression","Age_Median","Age_IQR","Age_NA","Female","Male","Sex_NA","Cancer_Type","Treatment_Type","No_Response","Response","No_Progression","Progressed","PFS_Median","PFS_IQR","Alive","Dead","OS_Median","OS_IQR"
"ICB_Abacus",148,"TPM",NA,NA,148,0,0,148,"Bladder","PD-1/PD-L1",46,27,0,0,NA,NA,0,0,NA,NA
"ICB_Ascierto",11,"log2gNor",NA,NA,11,4,7,0,"Kidney","PD-1/PD-L1",7,4,0,0,NA,NA,0,0,NA,NA
"ICB_Auslander",6,"TPM",67,27,0,0,0,6,"Melanoma","CTLA4",6,0,0,0,NA,NA,0,0,NA,NA
"ICB_Auslander",4,"TPM",52,48.2,0,0,0,4,"Melanoma","IO+combo",2,2,0,0,NA,NA,0,0,NA,NA
"ICB_Auslander",27,"TPM",72,28.5,0,0,0,27,"Melanoma","PD-1/PD-L1",26,1,0,0,NA,NA,0,0,NA,NA
"ICB_Braun",181,"TPM",62,14.2,1,151,30,0,"Kidney","PD-1/PD-L1",103,39,22,159,1,0,58,123,1,1
"ICB_Cloughesy",28,"TPM",63.2,11.2,0,17,11,0,"Brain","PD-1/PD-L1",21,1,1,27,1,0,8,20,1,1
"ICB_Damrauer",90,"TPM",70,14,0,34,56,0,"Bladder","PD-1/PD-L1",69,17,10,79,1,0,33,57,1,1
"ICB_Fehrenbacher",95,"TPM",NA,NA,95,27,68,0,"Lung","PD-1/PD-L1",56,14,5,90,1,0,16,79,1,0
"ICB_Gide",41,"TPM",57,21,0,14,27,0,"Melanoma","IO+combo",11,27,23,18,0,1,34,7,0,0
"ICB_Gide",50,"TPM",62.5,20,0,17,33,0,"Melanoma","PD-1/PD-L1",23,23,14,36,1,1,21,29,1,1
"ICB_Hugo",27,"TPM",61,14.5,0,8,19,0,"Melanoma","PD-1/PD-L1",13,14,0,0,NA,NA,15,12,0,1
"ICB_Hwang",21,"TPM",NA,NA,21,6,15,0,"Lung","PD-1/PD-L1",13,3,3,18,1,0,7,14,1,1
"ICB_IMmotion150",110,"TPM",NA,NA,110,0,0,110,"Kidney","IO+targeted",34,38,0,0,NA,NA,0,0,NA,NA
"ICB_Jerby_Arnon",112,"TPM",NA,NA,112,49,56,7,"Melanoma","PD-1/PD-L1",53,43,33,72,1,1,0,0,NA,NA
"ICB_Jung",27,"TPM",62,10,0,5,22,0,"Lung","PD-1/PD-L1",19,8,6,21,1,0,0,0,NA,NA
"ICB_Kim",45,"TPM",NA,NA,45,0,0,45,"Gastric","PD-1/PD-L1",18,13,0,0,NA,NA,0,0,NA,NA
"ICB_Limagne1",70,"TPM",NA,NA,70,0,0,70,"Lung","PD-1/PD-L1",52,17,18,52,1,0.8,0,0,NA,NA
"ICB_Limagne2",26,"TPM",NA,NA,26,0,0,26,"Lung","PD-1/PD-L1",16,6,6,20,1,0,0,0,NA,NA
"ICB_Liu",47,"TPM",NA,NA,47,20,27,0,"Melanoma","IO+combo",26,17,10,37,1,0,16,31,1,1
"ICB_Liu",74,"TPM",NA,NA,74,30,44,0,"Melanoma","PD-1/PD-L1",34,35,25,49,1,1,43,31,0,1
"ICB_Mariathasan",195,"TPM",NA,NA,195,42,153,0,"Bladder","PD-1/PD-L1",91,42,0,0,NA,NA,67,128,1,1
"ICB_Mariathasan",67,"TPM",NA,NA,67,10,57,0,"Kidney","PD-1/PD-L1",37,9,0,0,NA,NA,20,47,1,1
"ICB_Mariathasan",5,"TPM",NA,NA,5,0,5,0,"Liver","PD-1/PD-L1",4,0,0,0,NA,NA,1,4,1,0
"ICB_Mariathasan",10,"TPM",NA,NA,10,2,8,0,"Lung","PD-1/PD-L1",4,1,0,0,NA,NA,5,5,0.5,1
"ICB_Mariathasan",26,"TPM",NA,NA,26,8,18,0,"Lymph_node","PD-1/PD-L1",12,4,0,0,NA,NA,8,18,1,1
"ICB_Mariathasan",19,"TPM",NA,NA,19,4,15,0,"Unknown","PD-1/PD-L1",6,7,0,0,NA,NA,7,12,1,1
"ICB_Mariathasan",26,"TPM",NA,NA,26,10,16,0,"Ureteral","PD-1/PD-L1",13,5,0,0,NA,NA,8,18,1,1
"ICB_Miao1",33,"TPM",64,8,0,9,24,0,"Kidney","PD-1/PD-L1",18,10,25,8,0,0,10,23,1,1
"ICB_Nathanson",24,"TPM",60,14.2,0,13,11,0,"Melanoma","CTLA4",14,10,0,0,NA,NA,8,16,1,1
"ICB_Padron",45,"TPM",62,12,0,19,26,0,"Pancreas","PD-1/PD-L1",20,3,6,39,1,0,11,34,1,0
"ICB_Prat",65,"log2gNor",59,21,0,15,50,0,"HNC","PD-1/PD-L1",35,22,20,45,1,1,0,0,NA,NA
"ICB_Puch",55,"TPM",NA,NA,55,0,0,55,"Melanoma","PD-1/PD-L1",35,14,0,0,NA,NA,0,0,NA,NA
"ICB_Ravi",2,"TPM",66,1,0,1,1,0,"Lung","IO+chemo",2,0,0,2,1,0,0,1,1,0
"ICB_Ravi",16,"TPM",64,14.5,0,12,4,0,"Lung","IO+combo",5,11,6,9,1,1,10,6,0,1
"ICB_Ravi",130,"TPM",64,15,1,70,60,0,"Lung","PD-1/PD-L1",62,45,27,91,1,0,62,63,1,1
"ICB_Riaz",23,"TPM",NA,NA,23,0,0,23,"Melanoma","IO+combo",10,4,0,0,NA,NA,10,13,1,1
"ICB_Riaz",23,"TPM",NA,NA,23,0,0,23,"Melanoma","PD-1/PD-L1",11,5,0,0,NA,NA,6,17,1,0.5
"ICB_Rittmeyer",344,"TPM",NA,NA,344,125,219,0,"Lung","PD-1/PD-L1",221,53,30,314,1,0,107,237,1,1
"ICB_Roh",16,"TPM",56.5,17,0,7,9,0,"Melanoma","CTLA4",11,4,0,0,NA,NA,11,5,0,1
"ICB_Shiuan",15,"TPM",NA,NA,15,0,0,15,"Kidney","PD-1/PD-L1",7,6,0,0,NA,NA,0,0,NA,NA
"ICB_Snyder",25,"TPM",68,12,0,3,22,0,"Ureteral","PD-1/PD-L1",10,8,6,19,1,0,8,17,1,1
"ICB_Thibaudin",34,"TPM",65.9,14.9,0,20,14,0,"Colon","IO+chemo",7,23,8,26,1,0,19,15,0,1
"ICB_Van_Allen",42,"TPM",61,24,0,14,28,0,"Melanoma","CTLA4",30,9,6,36,1,0,13,29,1,1
"ICB_VanDenEnde",35,"TPM",NA,NA,35,0,0,35,"Esophageal","PD-1/PD-L1",20,12,0,0,NA,NA,0,0,NA,NA
"ICB_Wolf",69,"log2gNor",NA,NA,69,69,0,0,"Breast","IO+chemo",38,31,0,0,NA,NA,0,0,NA,NA
"ICB_Wolf2",71,"log2gNor",NA,NA,71,71,0,0,"Breast","IO+targeted",42,29,0,0,NA,NA,0,0,NA,NA
"ICB_Zhao",17,"TPM",59,23,0,0,17,0,"Brain","PD-1/PD-L1",7,10,6,9,1,1,8,9,1,1
