"","Characteristic","All_DATA","Data_with_Sex"
"1","N° studies (%)","48 %","69 %"
"2","N° patients","2672","2996"
"3","Age year","",""
"4","Median (IQR)","63 (>89-90)","NA (>89-90)"
"5","NA (%)","1743 (65.2%)","2104 (70.2%)"
"6","Sex","",""
"7","Female (%)","906  ( 33.9 %)","1824  ( 60.9 %)"
"8","Male (%)","1172  ( 43.9 %)","1172  ( 39.1 %)"
"9","NA (%)","594  ( 22.2 %)","0  ( 0 %)"
"10","Cancer Type","",""
"11","Kidney (%)","417 (15.6%)","292 (9.7%)"
"12","Brain (%)","45 (1.7%)","45 (1.5%)"
"13","Bladder (%)","433 (16.2%)","285 (9.5%)"
"14","Lung (%)","776 (29%)","680 (22.7%)"
"15","Melanoma (%)","596 (22.3%)","451 (15.1%)"
"16","Liver (%)","5 (0.2%)","5 (0.2%)"
"17","Lymph_node (%)","26 (1%)","26 (0.9%)"
"18","Unknown (%)","19 (0.7%)","19 (0.6%)"
"19","Ureteral (%)","51 (1.9%)","51 (1.7%)"
"20","Pancreas (%)","45 (1.7%)","45 (1.5%)"
"21","HNC (%)","5 (0.2%)","5 (0.2%)"
"22","Colon (%)","34 (1.3%)","34 (1.1%)"
"23","Breast (%)","140 (5.2%)","1058 (35.3%)"
"24","Treatment","",""
"25","PD-1/PD-L1 (%)","2167 (81.1%)","1716 (57.3%)"
"26","IO+combo (%)","131 (4.9%)","104 (3.5%)"
"27","CTLA4 (%)","88 (3.3%)","82 (2.7%)"
"28","IO+chemo (%)","105 (3.9%)","105 (3.5%)"
"29","IO+targeted (%)","181 (6.8%)","71 (2.4%)"
"30","Response","",""
"31","No-response (%)","1420  ( 53.1 %)","1769  ( 59 %)"
"32","Response (%)","726  ( 27.2 %)","867  ( 28.9 %)"
"33","NA (%)","526 ( 19.7 %)","360 ( 12 %)"
"34","PFS","",""
"35","No-progression (%)","316  ( 11.8 %)","292  ( 9.7 %)"
"36","Progressed (%)","1276 ( 47.8 %)","1204 ( 40.2 %)"
"37","NA (%)","1080  ( 40.4 %)","1500  ( 50.1 %)"
"38","Median PFS","3.2","3.2"
"39","IQR PFS","8.3","8.7"
"40","OS","",""
"41","Alive (%)","650  ( 24.3 %)","634  ( 21.2 %)"
"42","Dead (%)","1120  ( 41.9 %)","1090  ( 36.4 %)"
"43","NA (%)","902  ( 33.8 %)","1272  ( 42.5 %)"
"44","Median OS","12.3","12.1"
"45","IQR OS","16.9","16.8"
